"name","platform","region","tier","adhd_signal","ai_signal","evidence_level","source_or_note","next_action"
"硅星人Pro","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"极客公园","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"徐老师AI","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"AI概念股讨论组","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"牛大浪_","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"雪茄","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"zzxshczj","抖音/小红书/B站/知乎/微博/快手/即刻/头条/豆瓣/雪球","CN","C-ai-universe-cross-scan","unknown; do not infer diagnosis","AI creator / AI media / coding/productivity possible","candidate","project library local reports","用 ADHD/多动/拖延/执行力/Cursor/Claude Code/vibe coding 关键词交叉检索"
"Lex Fridman","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Sam Altman","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Andrej Karpathy","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"李开复 Kai-Fu Lee","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Andrew Ng","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"John Carmack","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Yann LeCun","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Geoffrey Hinton","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Demis Hassabis","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Rowan Cheung","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Jeff Dean","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Ian Goodfellow","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Soumith Chintala","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Fei-Fei Li","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Greg Brockman","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Thomas Wolf","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"3Blue1Brown / Grant Sanderson","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Two Minute Papers / Karoly Zsolnai-Feher","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Sentdex / Harrison Kinsley","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"StatQuest / Josh Starmer","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Krish Naik","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Siraj Raval","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"AI Explained","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Yannic Kilcher","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"DeepLearning.AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Matt Wolfe","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Dwarkesh Patel","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"The AI Advantage / Igor Pogany","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Wes Roth","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Machine Learning Street Talk / Tim Scarfe","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Steve Nouri","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Bernard Marr","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Zain Kahn","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Cassie Kozyrkov","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Ethan Mollick","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Allie K. Miller","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Kirk Borne","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"The Rundown AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"TAAFT","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Superhuman AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"TLDR AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"One Useful Thing","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"The Batch","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Ben Tossell / Bens Bites","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Michael Spencer / AI Supremacy","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Jack Clark / Import AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Sebastian Raschka / Ahead of AI","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Alberto Romero / The Algorithmic Bridge","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Nathan Lambert / Interconnects","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Simon Willison","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Future Tools","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Margaret Mitchell","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Marques Brownlee","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Ali Abdaal","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Jim Fan","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Jeremy Boissinot","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Techmeme AI Sources","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Dillon Bastan / ChatDSP","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Artists in DSP / Amorph","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Pluginmaker.ai team","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"Hugh Williams / Zettair","X/YouTube/LinkedIn/Substack/Medium/Threads/Mastodon","Global","D-global-ai-universe-cross-scan","unknown; do not infer diagnosis","AI/vibe-coding creator or AI public intellectual","candidate","project library + web indexed sources","交叉检索 ADHD/self-description/Claude Code/Cursor/Codex/agent workflow"
"r/ADHD_Programmers","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/ChatGPT","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/ArtificialInteligence","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/OpenAI","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/LocalLLaMA","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/ChatGPTPro","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/StableDiffusion","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/Midjourney","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/AGI","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"r/AIPromptProgramming","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Midjourney Discord","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"OpenAI Discord","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Hugging Face Discord","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Perplexity AI Discord","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Civitai Discord","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Learn AI Together","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"MLSpace.ai","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"LAION","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"今天和AI互动了吗 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"人机之恋 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"Cognitive Science认知科学 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"AI艺术 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"DeepSeek 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
"AGI创业者 豆瓣","Community","Mixed","E-community-source","community may contain ADHD creators","AI/agent community","source pool","project library local reports","用作滚动发现入口，不计入个人博主人数"
