"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"001","为什么226个ADHD名人证明你不是孤例——你不是个案，你只是还没看见同类星系","1390","你要先知道，自己不是道德失败，而是一种认知结构。 | 它真正的意义是告诉你：你不是一个坏掉的个案。 | 真正有用的是，名人样本让你看见一个模式：很多高创造力、高风险偏好、高表达欲、高行动冲动、高跨界迁移能力的人，都带着相似的神经系统特征。","痛点：别人靠稳定积累往前走，你靠高压爆发、临场救火、突然通电和事后崩溃活着。；需求：ADHD不是只需要“相信自己”，更需要把前额叶外置：Agent、团队、模板、状态文件、提醒机制、回流台账。；待办：Decide: 是否把“ADHD名人库”做成一张可筛选的案例地图，用来支撑后续内容和社群入口。","7","通过","","../rendered_articles/问题001_为什么226个ADHD名人证明你不是孤例_你不是个案你只是还没看见同类星系.html"
"002","AI Agent是不是ADHD等了20年的接口——你的外部前额叶终于有了可调用形态","1406","而是因为它第一次像一个真正可调用的执行接口：你把混乱倒进去，它帮你排序、拆解、提醒、归档、追问、生成下一步。 | 真正坏掉的是中间那层：从知道到行动。 | 01 ADHD最核心的痛点之一，不是“不知道该做什么”。","痛点：这些工具看似帮助ADHD，实际上经常把最难的部分又交还给ADHD：你要记得打开它，要记得整理它，要记得按规则使用它。；需求：你需要的是一个能把你高能量输入接进现实系统的接口。；待办：而是一个能在你大脑外面运行的前额叶。","7","通过","","../rendered_articles/问题002_AI_Agent是不是ADHD等了20年的接口_你的外部前额叶终于有了可调用形态.html"
"003","AI把所有人拉到80分，为什么ADHD的140分更值钱了——平均能力被抬高后，高方差才开始溢价","1422","但对ADHD来说，它还有另一层意义： 当80分变得廉价，真正值钱的会变成那些极端、跳跃、不稳定但偶尔能冲到140分的能力。 | 02 ADHD真正的优势，往往不是平均分。 | 真正的打法是： 用AI抬底，用ADHD冲顶。","痛点：过去的问题是，这些峰值经常被日常低谷抵消。；需求：AI正在做一件很残酷的事： 把很多普通人的普通能力，快速拉到80分。；待办：Decide: 是否建立“AI抬底、ADHD冲顶”的工作分工表，明确哪些事交给Agent，哪些事必须保留给你。","7","通过","","../rendered_articles/问题003_AI把所有人拉到80分为什么ADHD的140分更值钱了_平均能力被抬高后高方差才开始溢价.html"
"004","AI能模拟ADHD的超聚焦吗——模型可以持续计算，但未必会被世界刺穿","1218","ADHD的超聚焦更像被雷劈中：不是你温和地选择了任务，而是某个问题突然抓住你，让其它世界短暂消失。 | 所以AI能模拟超聚焦的产物形态：长时间处理、深度展开、不断迭代。 | 04 所以问题不是AI能不能取代超聚焦。","痛点：第二天一个主题打中你，你突然能连续工作十小时，忘记吃饭、忘记时间、忘记环境，像整个人被一个问题吸进去了。；需求：所以问题不是AI能不能取代超聚焦。；待办：Decide: 是否为“超聚焦后处理”建立一个固定流程：倾倒、结构化、资产化、回流。","7","通过","","../rendered_articles/问题004_AI能模拟ADHD的超聚焦吗_模型可以持续计算但未必会被世界刺穿.html"
"005","为什么ADHD需要反应堆工作流而不是流水线——你不是产能不稳定，你是能量形态不同","1086","但ADHD的能量常常不是均匀分布，而是脉冲分布。 | 04 真正的问题是，很多ADHD把“我不适合流水线”误解成“我不适合长期项目”。 | 真正适合你的问题不是： 我怎么每天都稳定输出一点？","痛点：你可能平时拖延严重，但截止日期前爆发惊人执行力。；需求：你需要的是状态文件、外部前额叶、阶段性脉冲、回流台账、烂尾复活机制。；待办：Decide: 是否把“反应堆工作流”画成一张固定作战图，作为整个内容宇宙的入口图。","6","通过","","../rendered_articles/问题005_为什么ADHD需要反应堆工作流而不是流水线_你不是产能不稳定你是能量形态不同.html"
"006","ADHD的六种变现接口是什么——你的放电需要不同插座，而不是一个完美职业","1215","ADHD最缺的不是信息，而是同类感和外部结构。 | 如果你的内容能持续让人说“这就是我”，社群就不是强行拉群，而是自然聚合。 | 工具接口的关键不是一开始就做完美产品。","痛点：ADHD最容易犯的一个错误，是寻找一个“完美职业”。；需求：ADHD最缺的不是信息，而是同类感和外部结构。；待办：Decide: 是否为当前内容宇宙设计一张“六接口现金流地图”。","7","通过","","../rendered_articles/问题006_ADHD的六种变现接口是什么_你的放电需要不同插座而不是一个完美职业.html"
"007","为什么ADHD天生是话术大师，却需要Agent才能真的思考——你说得快，不等于想得完","1076","真正的思考，发生在两者之间： 高压放电之后，有人把电接进线路。 | 思考要求你把刚才说过的话固定下来，检查前后是否一致，判断哪句是核心，哪句只是兴奋时的装饰。 | 它会问你： 你刚才最核心的判断是什么？","痛点：你是思考经常以语流形式出现，而不是以结构形式保存。；需求：所以ADHD需要一个规则： 凡是说爽了的东西，都要被Agent追问一次： 这能沉淀成什么？；待办：Decide: 是否建立“语流回收协议”：每次长聊天后自动抽取标题、论点、下一步动作。","6","通过","","../rendered_articles/问题007_为什么ADHD天生是话术大师却需要Agent才能真的思考_你说得快不等于想得完.html"
"008","为什么团队维护我放电，才是ADHD的正确输出姿势——你不需要一个人维护所有接口","1050","01 ADHD的输出不是稳定水流，而是高压脉冲。 | 你的核心岗位应该是： 选题雷达、判断引擎、命名者、表达反应堆、方向决策者。 | 如果一个人的核心价值是高压放电，那最浪费的安排，就是让他花大量时间维护插线板。","痛点：是每次有能量之后，还要自己负责所有后处理。；需求：其实你更需要一个团队逻辑： 我放电，系统维护。；待办：Decide: 是否为内容生产建立“放电者/维护者”职责表，明确哪些环节永远不让你手动背。","6","通过","","../rendered_articles/问题008_为什么团队维护我放电才是ADHD的正确输出姿势_你不需要一个人维护所有接口.html"
"009","当AI帮你写作，你的反应堆语流会不会被模板化杀死——最危险的不是写得差，是写得太顺","958","没有反常识，没有冒犯感，没有真正的判断，只剩下一些温和正确的话。 | 你会把待办软件说成低剂量窒息，把负罪感说成债务陷阱，把空间混乱说成物理哈希表，把Agent说成外部前额叶。 | AI写作最危险的地方，不是它写得差。","痛点：没有你真实的羞耻、冲动、崩溃、兴奋、被击中的瞬间。；需求：AI写作最危险的地方，不是它写得差。；待办：Decide: 是否建立每篇文章的“反模板化检查点”，发布前必须保留至少一个带电句。","6","通过","","../rendered_articles/问题009_当AI帮你写作你的反应堆语流会不会被模板化杀死_最危险的不是写得差是写得太顺.html"
"010","为什么轻度抑郁反而加速了ADHD的自我认知——低电量时，你第一次看见了自己的系统错误","1046","03 轻度抑郁加速自我认知的关键，不是痛苦本身。 | 如果低落持续加重、影响基本生活、出现危险念头，就需要现实支持和专业帮助。 | 但有时也正是这个停顿，让你开始从“我怎么又这样”走向“我的系统到底哪里需要外置”。","痛点：它会让人低能量、低兴趣、低期待，像整个世界被调低了亮度。；需求：轻度抑郁加速自我认知的关键，不是痛苦本身。；待办：Decide: 是否建立“低电量诊断清单”，把每次低落暴露的问题转成一个系统修复动作。","6","通过","","../rendered_articles/问题010_为什么轻度抑郁反而加速了ADHD的自我认知_低电量时你第一次看见了自己的系统错误.html"
"011","ADHD如何用Agent完成从信息到洞察到选题的完整链路","3887","具体来说，Agent 要执行的不是""整理""，而是三个强制推进动作： 第一，强制关联。 | Agent 可能会给你一个逻辑自洽但毫无价值的选题——因为它不理解你的读者，不理解你的品牌，不理解你此刻的人生阶段真正需要说什么。 | 用 5 个固定问题逼出洞察：""这和我的核心框架有什么关系？","痛点：我用了十年时间才明白：ADHD 的信息焦虑不是信息太多，是加工环节断了。；需求：Agent 可能会给你一个逻辑自洽但毫无价值的选题——因为它不理解你的读者，不理解你的品牌，不理解你此刻的人生阶段真正需要说...；待办：Agent 的""强制推进""必须建立在一个前提上：你已经有一个稳定的认知框架。","7","通过","","../rendered_articles/问题011_ADHD如何用Agent完成从信息到洞察到选题的完整链路.html"
"012","ADHD和LLM都是时间盲，Agent如何同时治愈两个大脑？","1171","不是因为 Agent 更聪明，而是因为 Agent 能把时间变成外部结构。 | 01 ADHD 的时间不是线性的，而是亮度制。 | 不是没规划，而是规划在大脑里没有足够亮度。","痛点：ADHD 的困难就在这里：未来奖励的神经权重太低，未来惩罚也经常到临近时才突然变重。；需求：所以 ADHD 和 LLM 都需要 Agent。；待办：只写四行：；当前状态：___；下一步唯一动作：___","6","通过","","../rendered_articles/问题012_ADHD和LLM都是时间盲_Agent如何同时治愈两个大脑.html"
"013","ADHD如何构建一个永远不会断更的选题系统——不是靠自律，而是靠反应堆供料","1072","04 真正不会断更的系统，不是每天强迫自己写。 | 所以ADHD的选题系统，第一原则不是写作纪律。 | 你需要每天都能接触到一个可推进的入口。","痛点：聊天里有选题，刷视频时有选题，焦虑时有选题，崩溃后有选题，和AI对话时更是满屏选题。；需求：你需要每天都能接触到一个可推进的入口。；待办：Decide: 是否把当前选题池升级成“倾倒区-发酵池-草稿池-发布池”四层看板。","6","通过","","../rendered_articles/问题013_ADHD如何构建一个永远不会断更的选题系统_不是靠自律而是靠反应堆供料.html"
"014","为什么ADHD最懂LLM的幻觉？你不是总被骗，是太熟悉脑内生成的真实感","1278","朋友晚回你消息，你的大脑不是停在“他还没回”，而是自动生成三条支线：他是不是烦我了、我刚才是不是说错话了、这段关系是不是快结束了。 | 不是因为 ADHD 更会瞎编，而是因为 ADHD 太熟悉一种状态：当系统迫切需要闭合意义，却缺少足够约束时，大脑会用高速度、高置信度、低证据密度... | 01 LLM 的幻觉不是“撒谎”，而是“生成过头”。","痛点：你有没有经历过一种很怪的瞬间：你明明没有证据，却已经把一个故事在脑子里补完了。；需求：所以 ADHD 和 AI 协作时，真正的关键不是让 AI 更会写，而是让 AI 更会校验。；待办：第一行：我现在相信什么。；第二行：我有什么证据。；第三行：还有哪一种解释也可能成立。","7","通过","","../rendered_articles/问题014_为什么ADHD最懂LLM的幻觉_你不是总被骗是太熟悉脑内生成的真实感.html"
"015","为什么ADHD和LLM都需要Harness？不是限制想象力，而是给高能系统装轨道","1193","这就是 ADHD 和 LLM 的共同命运：它们都不是缺生成能力，而是缺 Harness。 | 但没有 Harness 时，这些选择不是自由，而是并发请求。 | 第一，你最能产出的时刻，往往不是最自由的时刻，而是有人给了你明确题目、截止时间和交付格式的时候。","痛点：第二，你最容易崩溃的时刻，往往不是没事做，而是所有事都能做。；需求：很多人误会 ADHD，以为它需要的是更强的意志力。；待办：选一个你最常失控的场景，写下四句话： 输入是什么？","6","通过","","../rendered_articles/问题015_为什么ADHD和LLM都需要Harness_不是限制想象力而是给高能系统装轨道.html"
"016","为什么从“我想做”到“Agent帮我做了”是ADHD的救赎？启动不是意愿问题，是接口问题","1145","ADHD 最痛苦的一句话不是“我不会”，而是“我明明想做”。 | 01 ADHD 的启动失败，经常不是意愿失败，而是接口失败。 | 第二，你的许多失败不是没能力，而是没形成外部证据。","痛点：ADHD 最痛苦的一句话不是“我不会”，而是“我明明想做”。；需求：ADHD 不是缺愿望，ADHD 缺的是把愿望接进现实的接口。；待办：格式很简单：；我想做：___；最小可见结果：___","6","通过","","../rendered_articles/问题016_为什么从我想做到Agent帮我做了是ADHD的救赎_启动不是意愿问题是接口问题.html"
"017","为什么ADHD的情绪风暴和LLM的温度参数是同构的？温度太高时，世界会变得太有意义","967","第三，你真正稳定产出的时刻，不一定是情绪最热的时刻，而是高温生成后有一个冷却、筛选、变压的过程。 | 04 所以 ADHD 不该追求永远冷静。 | 你需要的是温度管理，而不是温度消灭。","痛点：焦虑时，你觉得一个错误会毁掉全部人生。；需求：你需要的是温度管理，而不是温度消灭。；待办：写下：；这三问能救你很多次。","6","通过","","../rendered_articles/问题017_为什么ADHD的情绪风暴和LLM的温度参数是同构的_温度太高时世界会变得太有意义.html"
"018","为什么ADHD的身体不安分遇到AI反而成了优势？你动来动去的大脑终于有了外接执行器","910","04 所以 ADHD 的关键不是安静，而是把运动中的认知捕获下来。 | 你为了表现认真，牺牲了真正的思考状态。 | 神经典型者可以靠静坐维持任务状态，ADHD 很多时候需要运动来维持清醒。","痛点：你可能从小就被说过：别抖腿，坐好，别转笔，别走来走去。；需求：所以 ADHD 的关键不是安静，而是把运动中的认知捕获下来。；待办：找一个十分钟的路程，只做一件事：边走边对手机说一个你最近最想讲的问题。不要整理，不要装正式，不要管顺序。；回来后让 Agent 做三件事：","6","通过","","../rendered_articles/问题018_为什么ADHD的身体不安分遇到AI反而成了优势_你动来动去的大脑终于有了外接执行器.html"
"019","为什么80%的成人ADHD从未被诊断？不是他们没有症状，是他们太会代偿","988","但有一个现象很值得认真谈：很多成人 ADHD 并不是没有痛苦，而是痛苦被成绩、职业、聪明、能扛、会装正常长期盖住了。 | 所以“为什么这么多成人从未被诊断”的核心，不是他们没有症状，而是他们太会代偿。 | 第一，很多成人第一次意识到 ADHD，不是在小时候，而是在中年、职业压力上升、家庭责任变多、旧代偿失效之后。","痛点：所以成人 ADHD 的识别，不应该只问“你有没有失败”，还要问“你成功的成本是不是异常高”。；需求：但有一个现象很值得认真谈：很多成人 ADHD 并不是没有痛苦，而是痛苦被成绩、职业、聪明、能扛、会装正常长期盖住了。；待办：列三栏：；我表面做到了什么？；这张清单不能替代诊断，但它能帮你停止用“我还能撑”掩盖系统问题。","6","通过","","../rendered_articles/问题019_为什么80%的成人ADHD从未被诊断_不是他们没有症状是他们太会代偿.html"
"020","为什么ADHD在聚会上是焦点，回家却想死？你的社交高光其实是一场能量透支","992","01 ADHD 的社交高光，很多时候不是轻松，而是高唤醒。 | 真正耗你的不是说话，而是事后的解释、后悔和羞耻。 | 04 所以不要再用“我明明会社交，为什么还这么累”攻击自己。","痛点：第二，聚会结束后的崩溃往往比聚会本身更累。；需求：ADHD 需要的是社交后处理协议，而不是强迫自己一直像现场那样闪亮。；待办：提前写好三句话：；ADHD 在聚会上发光，不代表他不需要黑暗里充电。你的高光不是假的，你的崩溃也不是矫情。那只是同一个高敏系统的两面：上场时太亮，下场后就需要慢慢熄灯。","6","通过","","../rendered_articles/问题020_为什么ADHD在聚会上是焦点回家却想死_你的社交高光其实是一场能量透支.html"
"021","为什么Agent正在成为ADHD新的多巴胺来源？危险不在工具好用，而在回路太顺","940","不是简单快乐，而是“即时反馈 + 新鲜感 + 低启动成本 + 看起来像进展”的东西。 | 现在你可以用高度生产力的姿势逃避真正的发布、销售、沟通和交付。 | 第三，真正的多巴胺闭环应该来自现实反馈，而不是来自 AI 不断说“我已经帮你整理好了”。","痛点：ADHD 最容易被什么东西吸住？；需求：ADHD 最稀缺的不是想法，是把想法接进现实的闭环。；待办：每次结束前只允许三种结果之一：；这不是打击热情，而是保护热情。ADHD 最稀缺的不是想法，是把想法接进现实的闭环。Agent 越强，越要小心别让它把你困在无限生成的舒服里。；真正的外部...","6","通过","","../rendered_articles/问题021_为什么Agent正在成为ADHD新的多巴胺来源_危险不在工具好用而在回路太顺.html"
"022","为什么ADHD是应试教育的最极端受害者？你不是不聪明，是被迫用最低带宽证明最高能力","970","第一，很多 ADHD 并不是一直差，而是极不稳定。 | 不是学不会，而是大脑拒绝把生命浪费在无反馈机械磨损里。 | 04 所以 ADHD 不是应试教育里的普通受害者，而是极端受害者。","痛点：ADHD 在这种系统里最容易被误读。；需求：第一，很多 ADHD 并不是一直差，而是极不稳定。；待办：写下三个你过去以为是“我不行”的学习场景，然后分别标注：；这张表会改写很多旧伤。；ADHD 不需要用应试教育的标准重新审判自己一生。你当然要承认现实里的考试和规则，但你也要知道：如果一...","6","通过","","../rendered_articles/问题022_为什么ADHD是应试教育的最极端受害者_你不是不聪明是被迫用最低带宽证明最高能力.html"
"023","为什么ADHD在职场中总是聊起来聪明做起来糊涂？你不是能力差，是执行接口掉包了","936","你不是没想明白，而是没有把想明白的东西转换成可执行对象。 | 第二，你在 deadline 前能爆发，说明问题也不是完全做不了，而是启动和持续机制不稳定。 | 第三，你最常出错的地方往往不是核心判断，而是边角细节、沟通闭环、版本管理和跟进。","痛点：职场最容易让 ADHD 暴露的，是“从会议到落地”的断层。；需求：你需要的是把每次聪明发言立刻固化成执行对象。；待办：每次你说出一个有价值判断，就补一句：；“这件事我建议落成一个动作：___，负责人是___，完成证据是___。”；如果你不方便当场说，就让 Agent 会后整理会议记录时自动生成。","6","通过","","../rendered_articles/问题023_为什么ADHD在职场中总是聊起来聪明做起来糊涂_你不是能力差是执行接口掉包了.html"
"024","为什么ADHD的能量在冬天消失却在春天爆发？你不是懒惰，是节律系统对光和新鲜感太敏感","916","你不是没有目标，而是点火环境变差了。 | 第三，很多 ADHD 不是越安静越好，而是需要适量新鲜刺激。 | 真正成熟的计划，不是逼冬天开花，而是知道什么时候蓄能，什么时候放电。","痛点：回想过去三年，标出： 哪个月份最容易低落？；需求：所以 ADHD 需要季节性工作流。；待办：回想过去三年，标出：；然后把工作流按季节重排。","6","通过","","../rendered_articles/问题024_为什么ADHD的能量在冬天消失却在春天爆发_你不是懒惰是节律系统对光和新鲜感太敏感.html"
"025","为什么ADHD是文明的隐藏引擎？稳定系统负责延续，高方差大脑负责突变","957","但文明真正发生跃迁的时候，往往不是因为所有人都更稳定，而是因为有人突然把两个原本不相干的东西接在了一起。 | 可 ADHD 的能力分布不是稳定曲线，而是尖峰曲线。 | 很多创新不是从完美计划开始，而是从一种坐不住的“不对劲”开始。","痛点：写下三个问题： 我在哪类问题上最容易被点燃？；需求：文明需要突变，也需要保留突变成果的机制。；待办：写下三个问题：；我在哪类问题上最容易被点燃？；ADHD 不该只被定义为稳定系统里的故障。它也可能是文明在变化时保留探索能力的一种方式。稳定的人让世界继续转，高方差的人让世界偶尔换轨。","6","通过","","../rendered_articles/问题025_为什么ADHD是文明的隐藏引擎_稳定系统负责延续高方差大脑负责突变.html"
"026","为什么不是ADHD像AI，而是AI像ADHD？高发散系统终于成了时代默认界面","1027","ADHD 不是没有注意力，而是注意力容易被新关联牵引。 | 它不是没有逻辑，而是逻辑常常不是直线，而是网状跳跃。 | 04 所以 ADHD 在 AI 时代的核心能力，不是比别人更会用工具，而是更会和高发散系统共振。","痛点：脑子里同时开很多窗口，话题跳得快，看到一个东西就联想到另一个，没法老老实实按线性顺序想问题。；需求：你需要一套配套结构： 发散阶段，让 AI 跟你一起跑。；待办：第一段：尽情发散。；第二段：让它选三个最值得做的方向。；第三段：让它指出每个方向的风险。","6","通过","","../rendered_articles/问题026_为什么不是ADHD像AI而是AI像ADHD_高发散系统终于成了时代默认界面.html"
"027","为什么ADHD是你的大脑在拒绝过拟合？你不是不适应规则，是看见了规则之外的变量","958","第二，你对“标准做法”的抵触，很多时候不是叛逆，而是你真的看见了低效率、虚伪或错配。 | 你需要的不是彻底摆脱规则，而是建立两层系统。 | 它记住了标准答案，却没学会真正泛化。","痛点：这会造成现实代价：拖延、冲突、跳槽、项目半途而废。；需求：你需要的不是彻底摆脱规则，而是建立两层系统。；待办：写下：；这个规则原本解决什么问题？；ADHD 不是天生反规则。你反感的是那些把世界简化过头、把人压缩过头、把变化排除在外的规则。拒绝过拟合不是失败，它可能是你大脑保留泛化能力的方式。","6","通过","","../rendered_articles/问题027_为什么ADHD是你的大脑在拒绝过拟合_你不是不适应规则是看见了规则之外的变量.html"
"028","为什么ADHD与弱联系是你最大的创新资产？你的价值不在深耕一个圈子，而在让远处的信号相遇","932","第一，你很多好想法不是坐在书桌前想出来的，而是和不同行业的人聊天时突然接上的。 | 所以你需要一个弱联系 CRM，不是商业软件意义上的 CRM，而是一个外部记忆系统。 | 因为执行和信息整理变便宜后，真正稀缺的是问题感、场景感和异质材料。","痛点：很多 ADHD 都有一种奇怪的人际结构。；需求：所以你需要一个弱联系 CRM，不是商业软件意义上的 CRM，而是一个外部记忆系统。；待办：每个人后面只写三项：；我们下一次可以围绕哪个问题重新连接？；不要群发，不要表演社交。只找一个人，发一句具体的话。","6","通过","","../rendered_articles/问题028_为什么ADHD与弱联系是你最大的创新资产_你的价值不在深耕一个圈子而在让远处的信号相遇.html"
"029","为什么ADHD创始人将在AI时代统治世界？不是因为他们更稳定，而是因为他们更会和混乱共生","949","ADHD 的优势不是稳定，而是对混乱的适应。 | 第三，创业早期最怕不是想法太多，而是没有机制筛掉想法。 | 04 所以 ADHD 创始人不是靠“更疯”赢，而是靠“高方差 + 外部执行系统”赢。","痛点：需求模糊、资源不足、方向反复、反馈残酷、计划经常失效。；需求：ADHD 加 Agent 的组合，关键是建立筛选和反馈回流。；待办：写下：；我能在 48 小时内做出什么最小证据？；我要把它发给哪 5 个人？","6","通过","","../rendered_articles/问题029_为什么ADHD创始人将在AI时代统治世界_不是因为他们更稳定而是因为他们更会和混乱共生.html"
"030","如果2028年AI比ADHD更会发散，我们还剩什么？剩下的不是发散，而是痛感、位置和真实赌注","900","你知道负罪感不是概念，而是晚上躺着被“应该”围攻。 | 你知道外部前额叶断掉不是比喻，而是账号丢失后整个人认知义肢被拔掉。 | 第二，真正有传播力的内容，常常不是最完整的，而是最像“只有这个人能说出来”的。","痛点：因为 AI 的想法更多，而且不累、不睡、不羞耻、不需要多巴胺。；需求：第三，未来稀缺的不是想法数量，而是选择哪一个想法押上现实行动。；待办：如果三个问题都答不上来，这个选题可能只是 AI 也能写的通用内容。；未来不是 ADHD 被 AI 淘汰，而是低赌注发散会被淘汰。你剩下的不是“想得比 AI 多”，而是你真的疼过、真的站...","6","通过","","../rendered_articles/问题030_如果2028年AI比ADHD更会发散我们还剩什么_剩下的不是发散而是痛感位置和真实赌注.html"
"031","为什么你的大脑就是MoE？你不是分心，是专家太多但路由器还没训练好","941","01 MoE 的核心不是一个模型包打天下，而是多个专家在不同任务上被路由调用。 | 你不是没有能力，而是能力分布极不均匀。 | 第一，你不是所有事都差，而是差异大到离谱。","痛点：你有没有觉得自己像很多个人住在同一个脑子里？；需求：所以 ADHD 自我管理的关键，不是训练一个万能人格，而是训练路由。；待办：写下 5 个你脑内最常上线的专家：；你不是一个单体模型。你是一个高方差专家系统。问题从来不是专家不够，而是路由器还没训练好。AI 时代最适合 ADHD 的自我管理，不是统一人格，而是训...","6","通过","","../rendered_articles/问题031_为什么你的大脑就是MoE_你不是分心是专家太多但路由器还没训练好.html"
"032","为什么ADHD的时间贴现率是普通人的3倍——你不是短视，是未来奖励在大脑里打了折","980","长期主义对ADHD不是靠口号，而是靠即时反馈回路叠出来。 | 游戏能让人沉迷，不是因为目标短，而是因为长期目标被拆成了连续反馈。 | 所以ADHD的行动设计，不能只靠远期目标。","痛点：这也是为什么道理对ADHD经常没用。；需求：你需要的是让这一年里每天都有一点现实回声。；待办：说“今天发出一篇，并记录一条回流”。","6","通过","","../rendered_articles/问题032_为什么ADHD的时间贴现率是普通人的3倍_你不是短视是未来奖励在大脑里打了折.html"
"033","为什么ADHD的情绪波动就是市场波动——你的内在价格发现比你想象得更早","925","ADHD的情绪波动经常被理解成不稳定。 | 前一秒觉得人生有戏，后一秒觉得全盘报废。 | 一个消息让你冲上天，一句冷淡回复又把你砸回地面。","痛点：ADHD的情绪波动经常被理解成不稳定。；需求：ADHD的情绪波动经常被理解成不稳定。；待办：Decide: 是否建立个人情绪K线表，把高波动事件转成信号、误报和行动。","6","通过","","../rendered_articles/问题033_为什么ADHD的情绪波动就是市场波动_你的内在价格发现比你想象得更早.html"
"034","为什么一个P8外卖高管的MoE有四种放电模式——你不是人格分裂，是专家路由太多","980","03 真正需要优化的，不是压掉某个专家。 | 真正的问题是：每次放电之后，有没有系统判断它该流向哪里。 | 有些高能力ADHD看起来像有很多个自己。","痛点：有些高能力ADHD看起来像有很多个自己。；需求：真正需要优化的，不是压掉某个专家。；待办：Decide: 是否把自己的放电模式整理成一张“专家路由表”。","6","通过","","../rendered_articles/问题034_为什么一个P8外卖高管的MoE有四种放电模式_你不是人格分裂是专家路由太多.html"
"035","为什么辩论队是ADHD的反应堆预科学校——你以为你在练表达，其实在练高速路由","909","02 辩论训练的真正价值，不只是表达。 | 所以辩论队训练出来的ADHD，后面必须补一课： 从现场胜利转向长期资产。 | 你不需要等三个月才知道自己说得好不好。","痛点：辩论队对很多ADHD有一种奇怪吸引力。；需求：辩论队对很多ADHD有一种奇怪吸引力。；待办：对方的表情、裁判的记录、场上的节奏，都会立刻回你。","6","通过","","../rendered_articles/问题035_为什么辩论队是ADHD的反应堆预科学校_你以为你在练表达其实在练高速路由.html"
"036","为什么ADHD的出版策展就是知识做空——你不是在选书，是在判断哪些知识会重新定价","891","因为真正有价值的选题，往往出现在领域交界处。 | 第三，把它转成内容选题、书单、课程、报告或产品入口。 | 04 一个好的出版策展Agent应该帮你做三件事。","痛点：扫描变成收藏，收藏变成负债，负债变成羞耻。；需求：但对某些ADHD来说，它更像一场知识市场交易。；待办：Decide: 是否建立“知识做空清单”，把低估概念转成未来选题和产品入口。","6","通过","","../rendered_articles/问题036_为什么ADHD的出版策展就是知识做空_你不是在选书是在判断哪些知识会重新定价.html"
"037","为什么ADHD是县域经济研究员的理想大脑——你的扫描雷达天然适合看见地方系统的暗线","1041","02 县域经济真正难的，不是找资料。 | 而是为了验证你的雷达有没有真正扫到地方系统的暗线。 | 所以ADHD做县域研究，必须配Agent。","痛点：人口、产业、交通、招商、土地、财政、历史、企业、政策。；需求：人口、产业、交通、招商、土地、财政、历史、企业、政策。；待办：Decide: 是否把urban-research也纳入ADHD外部执行系统叙事，作为专业服务样板。","6","通过","","../rendered_articles/问题037_为什么ADHD是县域经济研究员的理想大脑_你的扫描雷达天然适合看见地方系统的暗线.html"
"038","当外部前额叶突然消失，ADHD的大脑会经历什么——不是账号丢了，是认知义肢断了","932","所以真正成熟的Agent协作，不是聊得多聪明。 | Decide: 是否为所有主线项目建立“断线恢复包”：总览、状态、下一步、关键文件链接。 | 所以你会本能地把它们外置到聊天、笔记、文件夹、Agent、浏览器标签、微信收藏里。","痛点：账号会丢，会话会断，工具会变，平台会封，浏览器会崩。；需求：Decide: 是否为所有主线项目建立“断线恢复包”：总览、状态、下一步、关键文件链接。；待办：Decide: 是否为所有主线项目建立“断线恢复包”：总览、状态、下一步、关键文件链接。","6","通过","","../rendered_articles/问题038_当外部前额叶突然消失ADHD的大脑会经历什么_不是账号丢了是认知义肢断了.html"
