"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"039","ADHD是""听觉动物""——为什么阅读是酷刑，听书是多巴胺输液","1233","不是""支持语音""，而是""默认语音""。 | 不是""可以听""，而是""一开始就用说的""。 | 声音是被动接收的线性流，不需要你指挥眼球。","痛点：你拿起一本书，读了五分钟，发现自己在看第三行的时候，第一行已经蒸发。；需求：不是""支持语音""，而是""默认语音""。；待办：这不是巧合，这是你的大脑在投票——它选择了那条摩擦更小的信息高速公路。","7","通过","","../rendered_articles/问题039_ADHD是听觉动物_为什么阅读是酷刑而听书是多巴胺输液.html"
"040","为什么ADHD的整理欲是一种神力陷阱——你修炼了半天，释放了吗？","1864","真正的解法不是""停止修炼""，而是给""释放""也装上多巴胺引擎。 | 这些事情也有一个共同特征：它们的结果会被他人接收、评价、使用——这带来了不确定性，但也带来了真正的价值交换。 | 真正的神力不在整理里，不在优化里，不在""准备好之后""。","痛点：你有没有过这样的日子：一整天都在""优化""——整理桌面、重命名文件夹、研究新的笔记软件、给标签体系设计了一套完美的颜色编码。；需求：真正的解法不是""停止修炼""，而是给""释放""也装上多巴胺引擎。；待办：因为建立系统的多巴胺峰值出现在设计阶段，使用阶段反而平淡无奇。","7","通过","","../rendered_articles/问题040_为什么ADHD的整理欲是一种神力陷阱_你修炼了半天释放了吗.html"
"041","为什么ADHD是天生的""做空者""——你的悲观本能正在帮你赚钱","1375","一个朋友激情澎湃地跟你讲他的创业计划，你脑子里浮现的不是蓝海，而是他没算进去的成本项。 | 做空者的核心能力不是预测上涨，而是提前识别系统的脆弱性。 | 当你72小时扫描一个县域的时候，你做的第一件事不是收集正面数据，而是寻找""这个故事什么时候会破""的裂缝。","痛点：你有没有发现，你总是在事情还没崩之前就嗅到了崩的味道？；需求：一个朋友激情澎湃地跟你讲他的创业计划，你脑子里浮现的不是蓝海，而是他没算进去的成本项。；待办：你有没有发现，你总是在事情还没崩之前就嗅到了崩的味道？","7","通过","","../rendered_articles/问题041_为什么ADHD是天生的做空者_你的悲观本能正在帮你赚钱.html"
"042","为什么ADHD律师的""对抗性质询""是天生的法律武器——你的打断本能正在帮你赢官司","1458","它不是让对方说完，而是在对方说话的过程中，不断插入短促、尖锐、直指漏洞的问题。 | 不是""你说的不对""，而是""你刚才说X，现在说Y，哪一个准确？ | ""不是""这不可能""，而是""请回答是或否：你是否在Z日期之前就知道这件事？","痛点：你是不是在争吵中经常因为""抢话""而被指责？；需求：你需要做的不是磨平它，而是给它一个合法的刀鞘。；待办：不是不礼貌，是你的大脑在对方说完第三句话的时候，已经推导出了第七句话的漏洞。","7","通过","","../rendered_articles/问题042_为什么ADHD律师的对抗性质询是天生的法律武器.html"
"043","为什么ADHD的""遗忘""是大脑的LoRA——你的遗忘不是在丢失信息，是在微调模型","1977","你可能复述不出那本书的章节结构，但你能在一个完全无关的场景里突然冒出那本书的核心洞察。 | 但在需要""模式识别""的场景里，LoRA大脑是碾压级的。 | urban-research里，你不需要记住一个县的所有GDP数据，你只需要记住""这个县的产业结构和十年前我看过的一个东北小城惊人相似""。","痛点：你是不是经常""想不起来具体发生了什么，但我当时感觉很不好""？；需求：把会议记录、读书笔记、对话摘要丢给Agent，你需要细节的时候问它，你不需要的时候让它安静待着。；待办：每次你""想不起来但感觉不对""的时候，立刻写下来——不写原因，只写判断。","7","通过","","../rendered_articles/问题043_为什么ADHD的遗忘是大脑的LoRA_你的遗忘不是在丢失信息是在微调模型.html"
"044","为什么中国学霸ADHD是最隐蔽的群体——你的高分正在掩盖你的挣扎","2051","2020年《Journal of Attention Disorders》的综述指出，高智商ADHD的诊断率显著低于普通智商ADHD，不是因为他... | 真正适合应试教育的人，学习本身能带来满足感。 | 把它揭下来，看看下面那张脸——那才是真正的你。","痛点：你有没有见过这样的人：985毕业，GPA3.8，托福110，履历漂亮得像印刷品。；需求：你的问题不是努力不足，是你的大脑需要不同的燃料。；待办：把它们写下来，看看这些策略的""利息""是什么——胃病、失眠、情绪崩溃。","7","通过","","../rendered_articles/问题044_为什么中国学霸ADHD是最隐蔽的群体_你的高分正在掩盖你的挣扎.html"
"045","为什么ADHD的""多巴胺周期""就是你的投资K线——你的情绪起伏正在泄露市场信号","1568","别人需要用十年投资经验才能理解""恐惧-贪婪""的周期，你在一天之内就能走完全程。 | 你不需要看K线，你看自己的心情就知道今天适不适合做决策。 | 04 问题是怎么把你的""情绪K线""变成投资优势？","痛点：你是不是在情绪高涨时重仓买入，在情绪低落时割肉离场？；需求：早上醒来像一条死鱼，上午十点突然亢奋到想征服世界，下午三点又跌进谷底觉得一切毫无意义，晚上十一点灵感爆发开始写三千字。；待办：连续七天，每小时记录一次情绪状态（1-10分）。","7","通过","","../rendered_articles/问题045_为什么ADHD的多巴胺周期就是你的投资K线_你的情绪起伏正在泄露市场信号.html"
"046","为什么ADHD的""多巴胺周期""与投资周期是同构的——你的大脑比美联储更懂周期","2464","Done. Next: 问题047——为什么200个Skill不是数字囤积而是MoE专家库？ | 04 问题是怎么把这个""周期体感""变成真正的认知优势？ | 你不需要看CPI、PMI、非农就业。","痛点：你有没有注意过，你的亢奋和低迷从来不是随机的？；需求：就像央行在经济过热时加息，你需要在亢奋时给自己""加息""——禁止一切不可逆决策（大额投资、辞职、重要关系承诺）。；待办：别人读二十年 macro 才能建立的周期直觉，你每天都在自己的大脑里跑仿真。","7","通过","","../rendered_articles/问题046_为什么ADHD的多巴胺周期与投资周期是同构的_你的大脑比美联储更懂周期.html"
"047","为什么200个Skill不是数字囤积而是MoE专家库——你的囤积癖正在搭建认知基础设施","2462","ChatGPT的GPTs、Claude的Skills、Midjourney的Style References、Notion的模板库、Obsidi... | 别人说你""囤积癖""""松鼠症""""数字仓鼠""，你自己也怀疑：我是不是又在用""准备行为""逃避真正的工作？ | 04 问题是怎么把你的""Skill库""从囤积变成真正的MoE系统？","痛点：你有没有数过自己装了多少个AI工具？；需求：如果数量让你焦虑，问题不在于数量，在于你没有给它们一个""架构叙事""。；待办：第二步：建立""路由规则""，减少选择 paralysis。","7","通过","","../rendered_articles/问题047_为什么200个Skill不是数字囤积而是MoE专家库_你的囤积癖正在搭建认知基础设施.html"
"048","为什么中年ADHD需要""第二次确诊""——你的代偿系统正在中年崩溃","2539","ADHD的核心缺陷——工作记忆弱、执行功能差、情绪调节差、时间盲——在年轻时可以被多种代偿机制掩盖：超常的智力、极端的努力、年轻时的身体恢复力、... | 神经影像学研究表明，前额叶皮质——ADHD最薄弱的大脑区域——在35-45岁经历一个""可塑性下降""的关键期。 | 拿出纸笔，回顾你的人生关键节点：学业波动期、工作跳槽期、关系破裂期、情绪崩溃期。","痛点：你有没有发现，三十五岁之后，以前管用的招数一个个失灵了？；需求：你需要的是一张""中年大脑系统架构图""——哪些功能必须外包给AI，哪些领域需要外部结构，哪些关系需要重新谈判，哪些职业路径需要...；待办：Decide: 是否需要加入""中年ADHD与子女ADHD的代际观察""视角，强化叙事的代际深度。","7","通过","","../rendered_articles/问题048_为什么中年ADHD需要第二次确诊_你的代偿系统正在中年崩溃.html"
"049","为什么当所有ADHD都用同一个Agent模板，高方差优势会被抹平——你的Agent正在把你变成平均值","2315","你得到了一个整洁的输出，但失去了那个可能引发真正突破的混乱中间态。 | 真正适合你的Agent结构，只能从这个项目的实际发散过程中生长出来。 | ADHD在AI时代的真正优势，不是""用Agent弥补缺陷""，是""用Agent放大差异""。","痛点：你有没有想过，当你从某个ADHD博主那里复制了一套""完美Agent工作流""，你得到的到底是什么？；需求：你有没有想过，当你从某个ADHD博主那里复制了一套""完美Agent工作流""，你得到的到底是什么？；待办：Decide: 是否需要将本文与005（反应堆工作流 vs 流水线）做交叉引用，强化""反流水线""立场。","7","通过","","../rendered_articles/问题049_为什么当所有ADHD都用同一个Agent模板_高方差优势会被抹平.html"
"050","为什么ADHD的伴侣需要一个""关系Agent""——你们之间缺的不是爱，是外部前额叶","2609","04 问题是怎么设计一个真正有用的关系Agent，而不是一个冰冷的监控系统？ | 当Agent帮你完成了""记住""和""提醒""，你可以把有限的认知资源投入到真正需要人类做的事：倾听、共情、身体接触、高质量的陪伴时间。 | 01 ADHD在亲密关系中的核心困境是""意图-执行""断裂。","痛点："" ""跟你说话的时候你总是在看手机，你有没有在听？；需求：当Agent帮你完成了""记住""和""提醒""，你可以把有限的认知资源投入到真正需要人类做的事：倾听、共情、身体接触、高质量的陪伴...；待办：神经典型者的大脑自动运行这个链条，ADHD的大脑需要每个步骤都手动操作——而手动操作意味着高错误率。","7","通过","","../rendered_articles/问题050_为什么ADHD的伴侣需要一个关系Agent_你们之间缺的不是爱是外部前额叶.html"
"051","为什么ADHD的""准备行为""是最贵的认知税——你在用装修拖延开火","2456","这个系统的运作逻辑是：真正的任务（写作、健身、学习）太模糊、太开放、太没有即时反馈，所以大脑拒绝进入。 | 于是你陷入了一个无限循环： 准备 → 小成就感 → 多巴胺 → 想要更多 → 更深入的准备 → 更大的系统 → 更复杂的工具链 → 真正的任务被... | 但这些深度思考从未被用于真正的输出。","痛点：你有没有算过自己为""准备做某事""花了多少时间？；需求：准备不仅在消耗时间，还在挤占真正需要的认知带宽。；待办：第二步：把""最小可行准备""写下来，不要超过5步。","7","通过","","../rendered_articles/问题051_为什么ADHD的准备行为是最贵的认知税_你在用装修拖延开火.html"
"052","为什么ADHD的微信已读不回不是冷漠，是决策瘫痪——你每次打开微信都在经历千刀万剐","2771","但你自己知道，有些消息你已经在脑子里回了八百遍——措辞、语气、表情包的选择、是否需要加波浪线软化——你只是没把它从脑子移到手指上。 | """"有空聊聊""——这些消息没有明确的请求，需要你先解码对方的意图，再决定回应策略。 | 解码意图本身就需要前额叶资源，而ADHD的前额叶在打开微信的那一刻已经被其他消息耗尽了。","痛点：对方发来""你是不是不想理我""，你看着屏幕又陷入了新一轮""该怎么解释""的 paralysis。；需求：你需要的是一套让""回消息""从开放式灾难变成封闭式任务的系统。；待办：第二步：建立""消息处理仪式""——固定时间+固定流程。","7","通过","","../rendered_articles/问题052_为什么ADHD的微信已读不回不是冷漠_是决策瘫痪.html"
"053","为什么ADHD的""冲动消费""其实是情绪套利——你的购物车是情绪K线的反向指标","2517","但真正的套利者知道，所有套利机会都会被市场抹平。 | ADHD的情绪波动比常人更剧烈，所以价值评估的扭曲也更严重。 | 你刷着手机，突然一个东西击中了你——不一定是需要它，是""想要""的感觉太强烈了。","痛点：那个时候你可能刚从一个情绪低谷爬出来，或者正在亢奋的顶峰。；需求：当冲动来临时，先跑一遍替代方案——不是因为替代方案更好，是因为你需要证明""我不是只能花钱""。；待办：每次情绪低谷时你用消费来""自救""，你的大脑就建立了一条更强的神经通路：""难受→买东西→好点""。","7","通过","","../rendered_articles/问题053_为什么ADHD的冲动消费其实是情绪套利_你的购物车是情绪K线的反向指标.html"
"054","为什么ADHD的""拖延清单""比""待办清单""更诚实——你逃避的事才是你的真需求","2700","拖延清单把""任务""分解为""阻力点""，而阻力点才是ADHD真正需要对付的敌人。 | 拖延的本质，往往是""害怕成功""""害怕失败""""害怕改变""——而这些害怕的背后，是你真正在乎的东西。 | 它们是不是都有一个共同特征——如果完成了，你的生活会发生真正的改变？","痛点：你明明想做那个项目，但一打开文档就 paralysis。；需求：拖延清单把""任务""分解为""阻力点""，而阻力点才是ADHD真正需要对付的敌人。；待办：第一步：建立""诚实的拖延清单""，只记录""在逃避什么""，不记录""应该做什么""。","7","通过","","../rendered_articles/问题054_为什么ADHD的拖延清单比待办清单更诚实_你逃避的事才是你的真需求.html"
"055","为什么ADHD的""凌晨三点灵感""是大脑的盘后交易——你的潜意识在收盘后做市","2787","但第二天早上，当你真正审视那个""绝妙想法""时，它往往没那么绝妙。 | ADHD之所以想在凌晨立刻执行，部分原因是""害怕灵感消失""。 | """"执行它需要我放弃什么更重要的事？","痛点：你有没有在凌晨三点突然坐起来，脑子里炸开一个""绝妙想法""？；需求：你有没有在凌晨三点突然坐起来，脑子里炸开一个""绝妙想法""？；待办：第一步：建立""凌晨灵感拘留所""——写下来，不执行。","7","通过","","../rendered_articles/问题055_为什么ADHD的凌晨三点灵感是大脑的盘后交易_你的潜意识在收盘后做市.html"
"056","为什么ADHD在AI时代不需要""专注""，需要""切换""——你的多线程是时代红利","2806","大多数突破性创新不是来自某个领域的深度专家，而是来自两个领域之间的""连接者""。 | 01 先理解""专注""为什么在传统时代是核心能力。 | 你的角色从""执行者""变成了""指挥者""，而指挥者的核心能力是""同时关注多个战场并快速切换注意力""。","痛点：你有没有被说过""你需要培养专注力""？；需求：你需要的是""快速扫描→识别信号→切换赛道""的能力，不是""埋头十年""的耐力。；待办：这个时代奖励的不是""谁能最久地盯着一个东西""，是""谁能最快地在多个东西之间建立正确连接""。","7","通过","","../rendered_articles/问题056_为什么ADHD在AI时代不需要专注需要切换_你的多线程是时代红利.html"
"057","为什么ADHD的""社交电池""充电比放电快十倍——你不是内向，你是高频脉冲社交动物","2592","对真正理解你的人，这个中场休息会让你们的关系更好——因为回来的你是""满血的你""，不是""硬撑的你""。 | 传统的""内向-外向""光谱解释不了——内向者需要长时间独处充电，外向者从社交中持续获得能量。 | 放电结束后，你不是""有点累""，你是""完全归零""——需要立刻逃离，需要黑暗，需要安静，需要没有人看向你。","痛点：你是不是更倾向于""多个短社交""而不是""一个长社交""？；需求：Decide: 是否需要建立""社交电容管理""的Agent提醒系统（聚会时长预测+中场休息提醒+逃生舱预设）。；待办：在需要快速建立连接、快速推进关系、快速点燃气氛的场景中，你是无价的。","7","通过","","../rendered_articles/问题057_为什么ADHD的社交电池充电比放电快十倍.html"
"058","为什么ADHD的""未完成情结""是创业的原力——你的烂尾楼是未来的城市天际线","2912","不是""我没完成所以我很烂""的耻辱记录，是""这个项目在什么条件下重新变得有趣""的可能性地图。 | 你也开始相信这个叙事：ADHD的""未完成""是一种病，需要被治愈。 | 在传统的""员工思维""里，这是灾难——老板需要你把一件事做到100%然后交卷。","痛点：你有没有数过自己有多少个""做到一半""的项目？；需求：你有没有数过自己有多少个""做到一半""的项目？；待办：第一步：建立""烂尾楼档案""，给每个未完成项目写一行""为什么停了""和""什么条件下可以重启""。","7","通过","","../rendered_articles/问题058_为什么ADHD的未完成情结是创业的原力_你的烂尾楼是未来的城市天际线.html"
"059","为什么ADHD的""多线程崩溃""需要单线程Agent来救——你的并行处理器需要一根外部主线程","2795","崩溃之后，你是不是往往不是""选择最重要的任务开始做""，而是""刷手机/吃东西/睡觉""？ | 上午你在写A项目的文案，脑子里突然跳出B项目的一个bug，然后C项目的合作方发来消息问你进展，D项目的 deadline 是今天但你还没开始，E... | 结果是：所有线程都在竞争注意力，没有一个能真正推进。","痛点：崩溃之后，你是不是往往不是""选择最重要的任务开始做""，而是""刷手机/吃东西/睡觉""？；需求：Agent的关键作用是""有控制的切换""：""A已经进行了90分钟，效率曲线在下降。；待办：Decide: 是否需要建立""单线程Agent""的最小可用原型（任务锁定+强制切换+每日归档）。","7","通过","","../rendered_articles/问题059_为什么ADHD的多线程崩溃需要单线程Agent来救_你的并行处理器需要一根外部主线程.html"
"060","为什么ADHD的""情绪过山车""是最高频的市场信号处理器——你的剧烈波动是别人的领先指标","2661","你的亢奋可能预示着真正的机会，也可能只是神经化学的随机波动。 | ""多相位合成，是你超越""稳定情绪观察者""的关键能力。 | 但如果你换一个框架：你的情绪系统是一个高频采样器，它以远高于常人的频率采集环境信号，所以你的""情绪波动""其实是""信号放大""。","痛点：你有没有想过，你的情绪过山车可能不是缺陷，是一台别人没有的信号接收器？；需求：Decide: 是否需要建立""情绪-信号""验证系统（情绪日志+Agent分析+命中率追踪），作为ADHD投资者的长期基础设施...；待办：每次经历强烈的情绪起伏时，记录：情绪类型（焦虑/亢奋/愤怒/恐惧）、强度（1-10）、触发线索（即使模糊也写下来）、后续验证...","7","通过","","../rendered_articles/问题060_为什么ADHD的情绪过山车是最高频的市场信号处理器_你的剧烈波动是别人的领先指标.html"
"061","为什么ADHD的""注意力残留""是跨领域创新的秘密通道——你的""串味""不是缺陷是杂交优势","2347","因为创新的本质从来不是在一个领域里钻得更深，而是把一个领域的结构搬到另一个领域。 | 回看你过去三年最被称赞的几个产出——文章、提案、设计、决策——它们多半不是某个单一领域的深耕，而是""A领域的方法用在B领域的问题上""。 | 这个翻译过程本身就是创新——你被迫提炼出A概念里""领域无关""的核心结构。","痛点：你有没有想过，你为什么总是""上一件事的味道还没散""就开始下一件事？；需求：在AI已经能做""专注执行""的时代，专注本身不再稀缺——稀缺的是""把A领域的味道带到B领域去""的能力。；待办：生物学和经济学共享大量底层结构（选择压力、变异、放大循环），但被学科墙隔开。","7","通过","","../rendered_articles/问题061_为什么ADHD的注意力残留是跨领域创新的秘密通道_你的串味不是缺陷是杂交优势.html"
"062","为什么ADHD需要""负罪感焚烧炉""而不是""自律打卡表""——你的内疚不是动力是债务陷阱","2427","等到内疚累积到临界，你不是开始行动，而是开始用追剧、刷手机、暴食这些低成本多巴胺把整个系统短路。 | 焚烧炉把所有""应该""清零后，你才能重新分级：哪些是真正重要的、哪些只是社会规训残留。 | 这一条是你真正在意的，其他都是社会规训留下的心理债。","痛点：你有没有发现，你下载的每一个习惯打卡App，都在第二周变成了一个""未完成的债主""？；需求：焚烧炉把所有""应该""清零后，你才能重新分级：哪些是真正重要的、哪些只是社会规训残留。；待办：每周固定一天（推荐周日晚上或周一早上），做一个仪式化的动作：把过去一周所有""应该没做""的事，逐条写下来，然后烧掉、删掉、撕掉...","7","通过","","../rendered_articles/问题062_为什么ADHD需要负罪感焚烧炉而不是自律打卡表_你的内疚不是动力是债务陷阱.html"
"063","为什么ADHD的""过度解释""是大脑的防御性DDOS——你不是在沟通是在让对方无法反驳","2428","RSD是ADHD群体里高度普遍的特征——对潜在拒绝/批评的反应远超常人，且早于真正发生。 | 写完一段回复后扔给Agent，让它做一件事：在不改变核心答案的前提下，砍掉所有""防御性细节""，只保留对方真正问的信息。 | 你的大脑可以从""如何让对方无法反驳""，升级为""如何让对方真正听到""。","痛点：你有没有发现，别人问你一个简单的""为什么没做完""，你的回答能说五分钟？；需求：它是一种合理的、但已经过时的生存策略——它在你需要被保护的童年和青少年时帮你扛过了无数次羞辱。；待办："" 半年后你会发现，没人再主动问你了——你以为是边界感建立了，其实是你被静默孤立了。","7","通过","","../rendered_articles/问题063_为什么ADHD的过度解释是大脑的防御性DDOS_你不是在沟通是在让对方无法反驳.html"
"064","为什么ADHD在AI时代应该放弃""终身学习""，拥抱""终身卸载""——你的大脑不是硬盘，是缓存","2464","这一步的关键不是""我以后会查""，而是""我现在可以从大脑里把它清出去""。 | 第一，注意力是真正的稀缺资源，不是知识。 | 卸载不是丢失，是腾出索引位给真正需要被注意的当下问题。","痛点：你有没有意识到，""终身学习""这句励志口号，对ADHD来说是一场缓慢的窒息？；需求：卸载不是丢失，是腾出索引位给真正需要被注意的当下问题。；待办：教育系统、职业证书、专业身份，全部建立在这个假设上。","7","通过","","../rendered_articles/问题064_为什么ADHD在AI时代应该放弃终身学习拥抱终身卸载_你的大脑不是硬盘是缓存.html"
"065","为什么ADHD的""人设疲劳""需要Agent来做社交面具管理——你不是装得太累，是切得太频","2517","应对它的办法不是""做更真实的自己""（这个建议太昂贵，多数人付不起），也不是""练就铜墙铁壁""（这个反向训练你的高方差优势），而是把面具管理从""靠脑... | 这一步把""加载人设""从""靠记忆""改成""按需调取""，省下来的工作记忆全部留给真正的对话内容。 | 写下你最常切换的5-8个人设：对老板、对核心客户、对下属、对父母、对伴侣、对朋友A、对朋友B、对自己。","痛点：你有没有这种感觉：一天下来，你换了五个人格，回到家瘫在沙发上像被掏空？；需求：Agent管家的第一个价值：把你和每个关键对象的""沟通规则""显式写下来——""对A老板：先说结论再说理由；不主动报忧；不评价同...；待办：Agent管家的第一个价值：把你和每个关键对象的""沟通规则""显式写下来——""对A老板：先说结论再说理由；不主动报忧；不评价同...","7","通过","","../rendered_articles/问题065_为什么ADHD的人设疲劳需要Agent来做社交面具管理_你不是装的太累是切的太频.html"
"066","为什么ADHD的""睡眠相位延迟""是进化遗留的夜间哨兵模式——你不是失眠，你在站岗","2486","这一步保证你的哨兵岗位真正产生了部落级的价值——不只是你自己看见火光，整个系统都看见了。 | 神经典型者的SCN周期接近24小时，所以与""日出而作、日落而息""的环境对齐良好。 | 在人类进化的环境里，部落需要有人值夜班——有人凌晨两点还醒着，警惕捕食者、看护火堆、监听异响。","痛点：你有没有发现，凌晨一两点你的脑子最清醒，反而是十一点准点上床那个动作要了你的命？；需求：你需要的是停止内化""早起=美德""的工业时代道德观，然后开始系统化你已经在做的事——夜间站岗。；待办：第二步：选择允许""夜班-早班错峰""的工作结构。","7","通过","","../rendered_articles/问题066_为什么ADHD的睡眠相位延迟是进化遗留的夜间哨兵模式_你不是失眠你在站岗.html"
"067","为什么ADHD的""灾难化思维""是大脑的蒙特卡洛模拟——你不是悲观，你在跑情景分析","2665","它的核心特点是：抽样越极端、覆盖越广，对尾部风险（tail risk）的估计越准。 | 它在你脑子里出现得过于频繁、过于具象，所以被定义为""病""。 | 问题不是模拟本身，问题是：(1) 你把所有情景都体验为""现在正在发生""，所以情绪上付了完整代价；(2) 你的输出端只输出""灾难版本""，所以别人以...","痛点：你有没有这样的时刻：领导只是说""下周聊一下""，你的大脑五分钟内已经完成了""被裁员-还房贷-离婚-住地下室-死了没人收尸""的完...；需求：问题不是模拟本身，问题是：(1) 你把所有情景都体验为""现在正在发生""，所以情绪上付了完整代价；(2) 你的输出端只输出""灾...；待办：写下来的瞬间，你从""住进去""切换为""观察""。","7","通过","","../rendered_articles/问题067_为什么ADHD的灾难化思维是大脑的蒙特卡洛模拟_你不是悲观你在跑情景分析.html"
"068","为什么ADHD的""并行阅读""不是注意力缺陷，是知识套利——你同时开十本书是在做组合配置","2432","当你从A书切到B书，不是因为A无聊，而是因为A里某个概念触发了""我应该去B里查个东西""的联想。 | 组合阅读的真正价值在切换点，不在""读完率""。 | 回想你过去一年真正用上的书的概念——是不是大多来自你""没读完""的书？","痛点：ADHD的大脑天然倾向第二种模式，但被教育系统训练的""读书人""道德观（""读书要专心""""善始善终""）反复打压。；需求：当你从A书切到B书，不是因为A无聊，而是因为A里某个概念触发了""我应该去B里查个东西""的联想。；待办：Decide: 是否做一个 reading-portfolio.md 模板（持仓表 + 切换日志）。","7","通过","","../rendered_articles/问题068_为什么ADHD的并行阅读不是注意力缺陷是知识套利_你同时开十本书是在做组合配置.html"
"069","为什么ADHD需要""反生产力""的空白时间才能真正生产力——你最忙的那一天产出最低","2454","把A概念和B概念组合出新洞察，需要的不是""专注思考30分钟""，而是它们在你脑子里""飘""足够久。 | 简单说：你的真正稀缺资源不是""工作时间""，是""DMN活跃但不被打断的窗口""。 | 你最闲的那一周，往往孕育了下个季度的关键作品。","痛点：你有没有发现这个矛盾：你最填满的那一周，产出几乎是零；那个被你视为""浪费""的周末发呆，反而是你接下来三周最高质量产出的来源？；需求：你最闲的那一周，往往孕育了下个季度的关键作品。；待办：第二步：建立""空白比例""目标，而非""产出量""目标。","7","通过","","../rendered_articles/问题069_为什么ADHD需要反生产力的空白时间才能真正生产力_你最忙的那一天产出最低.html"
"070","为什么ADHD的""高敏感""（HSP）叠加是信号放大器的过载与校准——你不是玻璃心，是高增益接收机","2750","它意味着你需要的不是""减少敏感""，而是""主动设计你的接收-处理链路""。 | 你需要的不是""减少所有刺激""（那会让ADHD部分凋零），而是有选择地控制刺激源：噪声大的环境用降噪耳机、视觉杂乱的工位放档板、社交密度过高时段安... | 你必须有真正的下线时段——独处、低刺激、无任务。","痛点：你有没有发现自己的痛苦比别人更深、感动也比别人更深、对环境的不适反应也比别人更强烈？；需求：你不需要""假装它没影响你""，你需要承认你的接收机分辨率很高，然后系统化地决定哪些值得放大、哪些应该屏蔽。；待办：第二步：建立""恢复窗口""的不可侵犯权。","7","通过","","../rendered_articles/问题070_为什么ADHD的高敏感HSP叠加是信号放大器的过载与校准_你不是玻璃心是高增益接收机.html"
"071","为什么ADHD的""冲动辞职""是对系统性错配的最终止损——你不是逃避，是熔断","2624","但临床和职业行为研究指向另一个解释：ADHD的""冲动辞职""通常不是逃避，而是系统对长期错配的强制熔断。 | 一个错配岗位待5年的代价不是5年工资的对立面（你确实拿到了工资），而是5年里你没有机会进入匹配你的环境、5年没有机会建立你独特的复利、5年里慢性... | 神经典型者的容错性较高——错配3-4个维度也能撑下去，靠的是高抑制控制（""我知道这不好但我能忍""）、稳定的情绪基线（错配的代谢成本不会立刻表现为...","痛点：你有没有过这样的时刻：某天早上你看着电脑屏幕，脑子里突然冒出一句""我不干了""，然后你真的写了辞职信？；需求：岗位错配（job-fit mismatch）指你和你岗位之间在多个维度上的不兼容：能量类型（你是脉冲型，岗位需要稳定）、刺激...；待办：离开旧岗位时，写下你在新岗位上要测试的""匹配假设""。","7","通过","","../rendered_articles/问题071_为什么ADHD的冲动辞职是对系统性错配的最终止损_你不是逃避是熔断.html"
"072","为什么ADHD的""单曲循环""是大脑的频率锁定与状态锚定——你不是听腻不了，是在保护工位","2401","你甚至会刻意选一首""不那么好听""的歌——因为你需要它""足够无聊""，才不会分走你的注意力。 | ADHD的工作状态启动需要""激活的临界质量""——单一线索（""坐下""）不够，需要多个线索同时到位才能进入。 | 这是为什么你需要""特定的咖啡杯""""特定的位置""""特定的灯光""""特定的笔""。","痛点：这是状态锚定有效的反向证据：当锚被拔掉，状态崩塌。；需求：你甚至会刻意选一首""不那么好听""的歌——因为你需要它""足够无聊""，才不会分走你的注意力。；待办：把锚定歌列入""只在工作时段播放""的清单。","7","通过","","../rendered_articles/问题072_为什么ADHD的单曲循环是大脑的频率锁定与状态锚定_你不是听腻不了是在保护工位.html"
