"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"109","为什么 ADHD x AI 博主最稀缺的位置不是老师而是制图者？你的价值不是教人用工具，而是画出地形","1228","因为真正的问题不是没有工具，而是不知道在自己的症状、能量、任务和人生阶段里，哪条路能走。 | 所以 ADHD x AI 博主最稀缺的位置，不是老师，而是制图者。 | 这五个问题一出现，你就不是在写教程，而是在给读者导航。","痛点：生活场景证据：一个 ADHD 用户打开工具清单，看到一百个 AI 应用，只会更焦虑。；需求：公众号版核心标题：ADHD x AI 博主最稀缺的位置不是老师，而是制图者 小红书版钩子：别再收藏 AI 工具清单了，你需要...；待办：每个选题写作前先填四行：；- 公众号版核心标题：ADHD x AI 博主最稀缺的位置不是老师，而是制图者；- 小红书版钩子：别再收藏 AI 工具清单了，你需要的是一张 ADHD 地图。","7","通过","","../rendered_articles/问题109_为什么ADHDxAI博主最稀缺的位置不是老师而是制图者_你的价值不是教人用工具而是画出地形.html"
"110","为什么 AI 内容越同质化，ADHD 创作者越应该保留不完美？真实痕迹是算法时代的信任资产","1299","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：AI内容越顺滑越像流水线，读者看完没有信任感。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：真实痕迹是算法时代的信任资产 小红书版钩子：AI内容越顺滑越像流水线，读者看完没有信任感 知乎回答问题：为什么 同质化AI内...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题110_为什么AI内容越同质化ADHD创作者越应该保留不完美真实痕迹是算法时代的信任资产.html"
"111","为什么 ADHD 做内容不该追热点，而要做危险区域标注员？别人封神时你负责标雷","1129","ADHD 用户最怕的不是工具不好，而是工具太会制造希望。 | 个人观察：很多 AI 内容的问题，不是骗人，而是只讲高能量状态下的成功截图。 | 公众号版核心标题：ADHD 做内容不该追热点，而要做危险区域标注员 小红书版钩子：这个 AI 工具很好，但可能不适合 ADHD。","痛点：格式： 最适合的人： 最容易反噬的人： 最大认知负担： 低电量是否可用： 替代手动入口： 这张卡片会比普通教程更有价值。；需求：ADHD 用户最怕的不是工具不好，而是工具太会制造希望。；待办：- 最适合的人：；- 最容易反噬的人：；- 最大认知负担：","6","通过","","../rendered_articles/问题111_为什么ADHD做内容不该追热点而要做危险区域标注员_别人封神时你负责标雷.html"
"112","为什么双A博主的护城河不是粉丝数，而是工具实测数据库？你的每次失败都是地图坐标","1281","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：粉丝数容易波动，工具教程容易被复制。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你的每次失败都是地图坐标 小红书版钩子：粉丝数容易波动，工具教程容易被复制 知乎回答问题：为什么 工具实测数据库 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题112_为什么双A博主的护城河不是粉丝数而是工具实测数据库你的每次失败都是地图坐标.html"
"113","为什么外包日记比 AI 教程更适合 ADHD 个人品牌？用户想看你怎么把脑子接上系统","1274","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：教程太通用，读者不知道真实痛苦如何接入AI。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：用户想看你怎么把脑子接上系统 小红书版钩子：教程太通用，读者不知道真实痛苦如何接入AI 知乎回答问题：为什么 外包日记 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题113_为什么外包日记比AI教程更适合ADHD个人品牌用户想看你怎么把脑子接上系统.html"
"114","为什么 ADHD 创作者要从说的人升级成绘图的人？情绪共鸣不够，还要给路","1275","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：共鸣内容让人点头，但爽完以后仍然不知道怎么走。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：情绪共鸣不够，还要给路 小红书版钩子：共鸣内容让人点头，但爽完以后仍然不知道怎么走 知乎回答问题：为什么 路径图表达 对 A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题114_为什么ADHD创作者要从说的人升级成绘图的人情绪共鸣不够还要给路.html"
"115","为什么 C 级小博主才是 AI 生态的基因多样性库？大号被算法驯化，小号还会变异","1260","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：大号内容越来越像同一种安全答案。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：大号被算法驯化，小号还会变异 小红书版钩子：大号内容越来越像同一种安全答案 知乎回答问题：为什么 小号信源观察 对 ADHD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题115_为什么C级小博主才是AI生态的基因多样性库大号被算法驯化小号还会变异.html"
"116","为什么纳米博主是 ADHD x AI 最好的冷启动阶段？1到5万粉不是过渡，而是信任黄金区","1281","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：创作者急着冲粉，反而过早把内容写变形。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：1到5万粉不是过渡，而是信任黄金区 小红书版钩子：创作者急着冲粉，反而过早把内容写变形 知乎回答问题：为什么 纳米博主信任区...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题116_为什么纳米博主是ADHDxAI最好的冷启动阶段1到5万粉不是过渡而是信任黄金区.html"
"117","为什么 ADHD 内容创业的第一资产不是人设，而是读者坐标系？你要知道他们困在哪个地图格","1280","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：人设越做越焦虑，但读者真实困境仍然模糊。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你要知道他们困在哪个地图格 小红书版钩子：人设越做越焦虑，但读者真实困境仍然模糊 知乎回答问题：为什么 读者坐标系 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题117_为什么ADHD内容创业的第一资产不是人设而是读者坐标系你要知道他们困在哪个地图格.html"
"118","为什么你的旧法律粉丝不是包袱，而是第一批高压执行功能用户？他们只是还没用 ADHD 命名自己的崩溃","1280","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：担心转型会丢掉过去积累。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：他们只是还没用 ADHD 命名自己的崩溃 小红书版钩子：担心转型会丢掉过去积累 知乎回答问题：为什么 旧粉高压执行功能 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题118_为什么你的旧法律粉丝不是包袱而是第一批高压执行功能用户他们只是还没用ADHD命名自己的崩溃.html"
"119","为什么 AI 自媒体的不眠之夜越来越像情绪预制菜？你以为看到新闻，其实吃到的是统一调料","1274","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：热点标题刺激强，信息密度却越来越低。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你以为看到新闻，其实吃到的是统一调料 小红书版钩子：热点标题刺激强，信息密度却越来越低 知乎回答问题：为什么 情绪预制菜 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题119_为什么AI自媒体的不眠之夜越来越像情绪预制菜你以为看到新闻其实吃到的是统一调料.html"
"120","为什么 AI 热点发生 14 天后，全网会变成同一篇文章？同质化不是慢慢发生，而是瞬间收敛","1286","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：创作者追热点追到最后只是在复述同一篇文章。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：同质化不是慢慢发生，而是瞬间收敛 小红书版钩子：创作者追热点追到最后只是在复述同一篇文章 知乎回答问题：为什么 热点收敛周期...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题120_为什么AI热点发生14天后全网会变成同一篇文章同质化不是慢慢发生而是瞬间收敛.html"
"121","为什么你越复制爆款公式，越会被算法识别成廉价内容？爆款模板正在变成集体降权信号","1266","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：照抄标题公式短期省力，长期损害辨识度。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：爆款模板正在变成集体降权信号 小红书版钩子：照抄标题公式短期省力，长期损害辨识度 知乎回答问题：为什么 反爆款模板 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题121_为什么你越复制爆款公式越会被算法识别成廉价内容爆款模板正在变成集体降权信号.html"
"122","为什么 Agent 是 AI 内容里的暗线之王？参数竞赛热闹，但最后一公里才赚钱","1056","你缺的往往不是一次回答，而是连续推进。 | Agent 的价值不是更会夸你，而是能把“我想做”接成“它已经在本地留下文件”。 | 真正值得写的不是“新模型有多强”，而是： 它能不能做内容回流？","痛点：个人观察：ADHD 最容易在建议和执行之间断线。；需求：这四层合起来，才是 AI 从聊天玩具变成生产系统的关键。；待办：每个场景只写五项：；- 触发条件：；- 输入材料：","6","通过","","../rendered_articles/问题122_为什么Agent是AI内容里的暗线之王_参数竞赛热闹但最后一公里才赚钱.html"
"123","为什么 L2.5 博主比情绪标题党更值钱？比原发源更易懂，比媒体更快","1260","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：普通读者看不懂原始论文，也厌倦二手标题党。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：比原发源更易懂，比媒体更快 小红书版钩子：普通读者看不懂原始论文，也厌倦二手标题党 知乎回答问题：为什么 L2.5解释层 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题123_为什么L2_5博主比情绪标题党更值钱比原发源更易懂比媒体更快.html"
"124","为什么公众号正在短视频化，而小红书正在搜索引擎化？平台不是渠道，是不同的大脑","1267","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：同一内容复制到不同平台表现很差。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：平台不是渠道，是不同的大脑 小红书版钩子：同一内容复制到不同平台表现很差 知乎回答问题：为什么 平台大脑差异 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题124_为什么公众号正在短视频化而小红书正在搜索引擎化平台不是渠道是不同的大脑.html"
"125","为什么跨平台一鱼多吃会变成算法自杀？不是分发越多越好，而是原生度越高越好","1260","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：复制粘贴多平台导致推荐差、互动弱。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：不是分发越多越好，而是原生度越高越好 小红书版钩子：复制粘贴多平台导致推荐差、互动弱 知乎回答问题：为什么 跨平台原生度 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题125_为什么跨平台一鱼多吃会变成算法自杀不是分发越多越好而是原生度越高越好.html"
"126","为什么 AI 内容需要内容对冲机制？热点越热，越要留20%冷内容","1241","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：创作者被热点牵着跑，资产沉淀越来越少。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 AI 内容需要内容对冲机制？；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题126_为什么AI内容需要内容对冲机制热点越热越要留20_冷内容.html"
"127","为什么邀请码经济学能让 AI 产品自己长腿？稀缺不是访问限制，而是社交货币","1270","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：用户被FOMO牵动，却不理解传播机制。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：稀缺不是访问限制，而是社交货币 小红书版钩子：用户被FOMO牵动，却不理解传播机制 知乎回答问题：为什么 邀请码经济学 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题127_为什么邀请码经济学能让AI产品自己长腿稀缺不是访问限制而是社交货币.html"
"128","为什么春节、长假和凌晨才是 AI 传播真正的隐藏按钮？注意力不是均匀分布的","1263","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：创作者只盯黄金时间，忽视注意力真空窗口。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：注意力不是均匀分布的 小红书版钩子：创作者只盯黄金时间，忽视注意力真空窗口 知乎回答问题：为什么 注意力真空 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题128_为什么春节长假和凌晨才是AI传播真正的隐藏按钮注意力不是均匀分布的.html"
"129","为什么 ADHD 不是超能力也不是缺陷，而是尖峰轮廓？环境决定它像外挂还是伤口","1094","一句话打穿：ADHD 的关键不是强弱，而是能力分布极不平。 | 如果你看尖峰轮廓，会发现他不是没有能力，而是能力高度偏科。 | 所以 ADHD 最需要的不是被神化，也不是被羞辱，而是环境匹配和外部系统。","痛点：个人观察：很多高能力 ADHD 最痛苦的地方，是别人只看见他的尖峰，于是无法理解他的低谷。；需求：一种说它是病，是缺陷，是麻烦，是需要被矫正的系统错误。；待办：左栏写“我异常强的场景”，右栏写“我反复掉线的场景”。；然后每个掉线场景后面写一个外部系统：Agent、模板、提醒、同伴、降级入口、done list、物理便签。；你不需要把自己磨成平...","6","通过","","../rendered_articles/问题129_为什么ADHD不是超能力也不是缺陷而是尖峰轮廓_环境决定它像外挂还是伤口.html"
"130","为什么 ADHD 的超聚焦需要日志，而不是崇拜？你要记录它的入口、代价和坠落时间","1263","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：把超聚焦当超能力，结果反复透支后坠落。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你要记录它的入口、代价和坠落时间 小红书版钩子：把超聚焦当超能力，结果反复透支后坠落 知乎回答问题：为什么 超聚焦日志 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题130_为什么ADHD的超聚焦需要日志而不是崇拜你要记录它的入口代价和坠落时间.html"
"131","为什么正常人的时间管理会伤害 ADHD？它假设你有稳定的内置时钟","1254","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：番茄钟和计划表反复失败后变成自责证据。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：它假设你有稳定的内置时钟 小红书版钩子：番茄钟和计划表反复失败后变成自责证据 知乎回答问题：为什么 外部时钟 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题131_为什么正常人的时间管理会伤害ADHD它假设你有稳定的内置时钟.html"
"132","为什么 ADHD 真正需要的是兴趣驱动操作系统？不是任务重要就能启动，而是信号够亮才会启动","1294","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：重要任务反而启动不了，低价值新鲜事却停不下来。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 ADHD 真正需要的是兴趣驱动操作系统？；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题132_为什么ADHD真正需要的是兴趣驱动操作系统不是任务重要就能启动而是信号够亮才会启动.html"
"133","为什么 ADHD 的晚睡需要关机 SOP，而不是自责？你不是不睡，是系统没有收到降噪信号","1279","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：晚睡被道德化成懒，越自责越睡不着。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你不是不睡，是系统没有收到降噪信号 小红书版钩子：晚睡被道德化成懒，越自责越睡不着 知乎回答问题：为什么 晚间关机SOP 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题133_为什么ADHD的晚睡需要关机SOP而不是自责你不是不睡是系统没有收到降噪信号.html"
"134","为什么 ADHD 女性最容易把症状误认为性格缺陷？她们不是没症状，是太会遮住症状","1271","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：女性长期把分心、情绪和疲惫解释成性格差。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：她们不是没症状，是太会遮住症状 小红书版钩子：女性长期把分心、情绪和疲惫解释成性格差 知乎回答问题：为什么 女性ADHD识别...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题134_为什么ADHD女性最容易把症状误认为性格缺陷她们不是没症状是太会遮住症状.html"
"135","为什么 ADHD 完成一件事只爽几秒？因为你的大脑没有成就结算系统","1572","可 ADHD 真正缺的，往往不是更多待办，而是一个能把“已完成”登记成现实证据的结算系统。 | 所以成就盲视不是“你不懂感恩”，而是你的内部仪表盘没有显示已完成资产。 | 生活场景证据很直接：你可能花三小时把一个难题解决了，但休息时脑子里不是“我完成了”，而是“我怎么现在才做完”。","痛点：外人看你明明做了不少，你自己却真诚地觉得：我是不是又浪费了一天。；需求：对 ADHD 来说，完成感不是自然流出的泉水，而是一套需要外置的账务系统。；待办：每天结束前，只写三行：；注意，不要写十条，不要搞复杂复盘，不要变成新的打卡羞耻。只写三行。；如果你愿意接 AI，就让 Agent 每晚帮你做一件事：把聊天、文件、提交、草稿、反馈里出现...","7","通过","","../rendered_articles/问题135_为什么ADHD完成一件事只爽几秒_因为你的大脑没有成就结算系统.html"
"136","为什么 AI body double 可能是 ADHD 的下一代陪跑者？你缺的不是监督，是一个不评判的同在","1273","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：独自启动困难，真人监督又容易羞耻。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你缺的不是监督，是一个不评判的同在 小红书版钩子：独自启动困难，真人监督又容易羞耻 知乎回答问题：为什么 AI陪跑 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题136_为什么AIbodydouble可能是ADHD的下一代陪跑者你缺的不是监督是一个不评判的同在.html"
"137","为什么游戏化对 ADHD 有效，但也最容易变成新成瘾？多巴胺按钮不能没有刹车","1260","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：游戏化短期有效，长期可能变成新沉迷。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：多巴胺按钮不能没有刹车 小红书版钩子：游戏化短期有效，长期可能变成新沉迷 知乎回答问题：为什么 游戏化刹车 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题137_为什么游戏化对ADHD有效但也最容易变成新成瘾多巴胺按钮不能没有刹车.html"
"138","为什么 ADHD 的创意优势必须被环境解锁，而不是被鸡血激活？错误环境会把天赋磨成症状","1274","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：被你很有潜力绑架，却长期无法稳定产出。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：错误环境会把天赋磨成症状 小红书版钩子：被你很有潜力绑架，却长期无法稳定产出 知乎回答问题：为什么 环境匹配 对 ADHD ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题138_为什么ADHD的创意优势必须被环境解锁而不是被鸡血激活错误环境会把天赋磨成症状.html"
"139","为什么药物只能打开门，而不能替你走完工作流？专注力回来后，系统仍然要有人搭","1277","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：期待药物解决全部人生问题，结果窗口期被浪费。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：专注力回来后，系统仍然要有人搭 小红书版钩子：期待药物解决全部人生问题，结果窗口期被浪费 知乎回答问题：为什么 药效窗口工作...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题139_为什么药物只能打开门而不能替你走完工作流专注力回来后系统仍然要有人搭.html"
"140","为什么 ADHD 的冲动不是敌人，而是需要刹车系统的发动机？能量不该被骂死，应该被接线","1251","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：冲动带来开坑、消费、辞职和后悔。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：公众号版核心标题：为什么 ADHD 的冲动不是敌人，而是需要刹车系统的发动机？；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题140_为什么ADHD的冲动不是敌人而是需要刹车系统的发动机能量不该被骂死应该被接线.html"
"141","为什么 AI 不是 ADHD 的效率工具，而是认知外包操作系统？这不是提效，是重建大脑架构","1242","真正改变命运的不是“AI 让我快一点”，而是“AI 接管了我大脑里最容易掉线的那些功能”。 | 一句话打穿：ADHD 用 AI 的核心，不是把事情做快，而是把不稳定的认知功能外置。 | 可 ADHD 的难点往往不是速度，而是接口。","痛点：真正改变命运的不是“AI 让我快一点”，而是“AI 接管了我大脑里最容易掉线的那些功能”。；需求：一句话打穿：ADHD 用 AI 的核心，不是把事情做快，而是把不稳定的认知功能外置。；待办：只写五行：；- 我最容易卡住的认知功能是：；- 这个功能卡住时的典型场景是：","7","通过","","../rendered_articles/问题141_为什么AI不是ADHD的效率工具而是认知外包操作系统_这不是提效是重建大脑架构.html"
"142","为什么每找到一个 AI 能替你做的事，你就扩容了一次大脑？外包不是偷懒，是认知增生","1255","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：使用AI有羞耻感，觉得自己不够努力。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：外包不是偷懒，是认知增生 小红书版钩子：使用AI有羞耻感，觉得自己不够努力 知乎回答问题：为什么 外包日记 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题142_为什么每找到一个AI能替你做的事你就扩容了一次大脑外包不是偷懒是认知增生.html"
"143","为什么 ADHD 需要一张认知功能外包矩阵？你不能只问用什么工具，要问替代哪个脑区","1262","个人观察：很多 ADHD 用 AI 失败，不是不会提示词，而是没有定义外包对象。 | ADHD 真正该问的是：它替我补哪一块脑功能？ | 结果真正卡住的是启动和排序，知识库只会让资料更多，焦虑更大。","痛点：列名： 我经常掉线的认知功能 典型痛苦场景 可以交给 AI 的固定动作 先填三行就够： 启动：看到大任务就逃；AI 把它拆成...；需求：第六格，情绪外包：把内疚、灾难化、过度解释翻译成清单和动作。；待办：列名：；先填三行就够：；- 启动：看到大任务就逃；AI 把它拆成 10 分钟动作。","7","通过","","../rendered_articles/问题143_为什么ADHD需要一张认知功能外包矩阵_你不能只问用什么工具要问替代哪个脑区.html"
