"选题","题目","字数","3个核心观点","解决的问题","质量评分","质量状态","质检备注","正文链接"
"144","为什么外部前额叶最怕单点故障？账号没了，系统不能跟着塌","1254","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：过度依赖单一平台，一丢账号就认知义肢断裂。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：账号没了，系统不能跟着塌 小红书版钩子：过度依赖单一平台，一丢账号就认知义肢断裂 知乎回答问题：为什么 单点故障 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题144_为什么外部前额叶最怕单点故障账号没了系统不能跟着塌.html"
"145","为什么 ADHD 产品的核心不是待办，而是启动坡道？任务清单只告诉你山在哪，不帮你上第一步","1283","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：待办越写越焦虑，因为它只显示山，不显示第一步。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：任务清单只告诉你山在哪，不帮你上第一步 小红书版钩子：待办越写越焦虑，因为它只显示山，不显示第一步 知乎回答问题：为什么 启...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题145_为什么ADHD产品的核心不是待办而是启动坡道任务清单只告诉你山在哪不帮你上第一步.html"
"146","为什么危险区域标注可以做成 ADHD AI 工具测评的标准栏目？好工具也可能用错人","1269","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：工具评测只讲优点，不讲认知副作用。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：好工具也可能用错人 小红书版钩子：工具评测只讲优点，不讲认知副作用 知乎回答问题：为什么 工具风险测评 对 ADHD x A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题146_为什么危险区域标注可以做成ADHDAI工具测评的标准栏目好工具也可能用错人.html"
"147","为什么 ADHD 用户愿意为少自责付费，而不是为更自律付费？真正的需求是减轻内耗","1046","但很多 ADHD 用户真正痛的不是“不知道要自律”，而是已经被“我怎么又没做到”烧穿了。 | 一句话打穿：ADHD 产品真正的付费点，不是让人变成正常人，而是减少执行失败后的内耗。 | 一个人如果每天都被内疚、羞耻、拖延史和未完成债务包围，他需要的第一件事不是再加一套规则，而是降低心理阻力。","痛点：生活场景证据：一个人拖了三天没回消息，他真正卡住的不是打字能力，而是打开对话框时涌上来的羞耻。；需求：但很多 ADHD 用户真正痛的不是“不知道要自律”，而是已经被“我怎么又没做到”烧穿了。；待办：改成：；- 公众号版核心标题：ADHD 用户愿意为少自责付费，而不是为更自律付费；- 小红书版钩子：别再卖自律给 ADHD 了，他们真正想买的是少一点自责。","6","通过","","../rendered_articles/问题147_为什么ADHD用户愿意为少自责付费而不是为更自律付费_真正的需求是减轻内耗.html"
"148","为什么负罪感焚烧炉应该从文章变成每日入口？内疚不是动力，是每天要倒掉的垃圾","1173","很多 ADHD 不是早上醒来开始工作，而是早上醒来开始受审。 | 你需要的不是更多自律工具，而是一个每天能打开的负罪感焚烧炉。 | 焚烧炉的核心不是烧掉人生，而是烧掉粘在任务上的羞耻胶水。","痛点：昨天没做的事、前天拖的事、上周答应的事、去年烂尾的项目，一起站到脑子里。；需求：真正还重要的东西，不应该以负罪感形式存在，而应该被改写成一个小到能开始的动作。；待办：- 我正在内疚的事：；- 这件事是真责任、过期责任，还是假责任：；- 如果它还重要，今天唯一动作是：","6","通过","","../rendered_articles/问题148_为什么负罪感焚烧炉应该从文章变成每日入口_内疚不是动力是每天要倒掉的垃圾.html"
"149","为什么烂尾项目复活清单可以变成一个小产品？你不是没有资产，是没有复活协议","1243","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：旧项目堆积成羞耻，而不是资产。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你不是没有资产，是没有复活协议 小红书版钩子：旧项目堆积成羞耻，而不是资产 知乎回答问题：为什么 烂尾复活 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题149_为什么烂尾项目复活清单可以变成一个小产品你不是没有资产是没有复活协议.html"
"150","为什么 ADHD 的 AI 工作流需要能量档位，而不是统一流程？低电量时还用高配流程就是自毁","1273","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：高能量时设计的系统，低能量时完全打不开。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：低电量时还用高配流程就是自毁 小红书版钩子：高能量时设计的系统，低能量时完全打不开 知乎回答问题：为什么 能量档位 对 AD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题150_为什么ADHD的AI工作流需要能量档位而不是统一流程低电量时还用高配流程就是自毁.html"
"151","为什么读者投稿坐标是双A社群的最小启动机制？社群不是聊天群，是一张共同绘制的地图","1262","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：社群容易变水群，互动热闹但资产很少。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：社群不是聊天群，是一张共同绘制的地图 小红书版钩子：社群容易变水群，互动热闹但资产很少 知乎回答问题：为什么 读者坐标库 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题151_为什么读者投稿坐标是双A社群的最小启动机制社群不是聊天群是一张共同绘制的地图.html"
"152","为什么 ADHD x AI 的变现应该先卖地图再卖课程？课程要求服从，地图允许导航","1260","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：ADHD用户买课后很难线性完成。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：课程要求服从，地图允许导航 小红书版钩子：ADHD用户买课后很难线性完成 知乎回答问题：为什么 地图型产品 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题152_为什么ADHDxAI的变现应该先卖地图再卖课程课程要求服从地图允许导航.html"
"153","为什么 ADHD 不适合日更，但适合双周地图栏目？你不是流水线作者，而是周期性制图者","1085","一句话打穿：ADHD 不是流水线作者，而是周期性制图者。 | 你不是每天只盯一个点，而是两周里收集很多信号，再做结构化。 | 个人观察：ADHD 的强项不是稳定挤牙膏，而是突然把很多远处信号连成一张图。","痛点：生活场景证据：你日更三天后会开始用同义反复撑场面。；需求：一句话打穿：ADHD 不是流水线作者，而是周期性制图者。；待办：每期包含五块：；- 本期核心地形：；- 三个读者痛点坐标：","6","通过","","../rendered_articles/问题153_为什么ADHD不适合日更但适合双周地图栏目_你不是流水线作者而是周期性制图者.html"
"154","为什么 ADHD 内容生产应该按能量分工，而不是按时间表分工？高能写作，低能整理，中能互动","1261","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：固定时间表一破功就全盘崩溃。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：高能写作，低能整理，中能互动 小红书版钩子：固定时间表一破功就全盘崩溃 知乎回答问题：为什么 能量任务菜单 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题154_为什么ADHD内容生产应该按能量分工而不是按时间表分工高能写作低能整理中能互动.html"
"155","为什么母版内容不是长文，而是一个可变形的证据包？平台吃的是不同物种，不是同一盘菜","1268","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：长文难以跨平台拆分，复制粘贴表现差。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：平台吃的是不同物种，不是同一盘菜 小红书版钩子：长文难以跨平台拆分，复制粘贴表现差 知乎回答问题：为什么 内容证据包 对 A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题155_为什么母版内容不是长文而是一个可变形的证据包平台吃的是不同物种不是同一盘菜.html"
"156","为什么小红书要写痛点步骤，公众号要写框架证据？同一选题要换语言，不是换标题","1268","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：同一内容跨平台失败，因为只换标题不换表达。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：同一选题要换语言，不是换标题 小红书版钩子：同一内容跨平台失败，因为只换标题不换表达 知乎回答问题：为什么 平台语言 对 A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题156_为什么小红书要写痛点步骤公众号要写框架证据同一选题要换语言不是换标题.html"
"157","为什么首发内容必须带评论区提问，而不是只求点赞？点赞是情绪，评论才是需求","1175","一句话打穿：内容首发不是结束，而是需求采集的开始。 | 反事实：如果每篇文章都带一个具体问题，三十篇以后你得到的不是三十篇内容，而是一组用户语言数据库。 | 那时你再做产品，不是凭脑内兴奋，而是凭真实回话。","痛点：评论区提问不是随便问一句“你是不是也这样”。；需求：一句话打穿：内容首发不是结束，而是需求采集的开始。；待办：- 这篇文章解决的痛点是：；- 我最想验证的需求是：；- 评论区只问一个问题：","6","通过","","../rendered_articles/问题157_为什么首发内容必须带评论区提问而不是只求点赞_点赞是情绪评论才是需求.html"
"158","为什么发布后48小时比写作前48小时更重要？内容真正开始工作，是在读者回话以后","1259","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：创作者发完就逃，错过最热反馈窗口。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：内容真正开始工作，是在读者回话以后 小红书版钩子：创作者发完就逃，错过最热反馈窗口 知乎回答问题：为什么 发布后48小时 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题158_为什么发布后48小时比写作前48小时更重要内容真正开始工作是在读者回话以后.html"
"159","为什么真实回流才是 ADHD 内容宇宙的燃料棒？没有反馈的灵感只是脑内烟花","971","真正能让内容宇宙持续燃烧的，不是灵感，是真实回流。 | 公众号版核心标题：真实回流才是 ADHD 内容宇宙的燃料棒 小红书版钩子：没有反馈的灵感，只是脑内烟花。 | 但如果这些灵感从来没有进入外部世界，没有读者评论，没有私信追问，没有收藏转发，没有模板需求，它们很容易只是脑内烟花。","痛点：个人观察：高发散创作者最容易被新想法诱惑，跳过回流分析。；需求：洗澡时一个，走路时一个，凌晨三点十个，和 AI 聊半小时又冒出二十个。；待办：字段：；- 文章编号：；- 评论原句：","6","通过","","../rendered_articles/问题159_为什么真实回流才是ADHD内容宇宙的燃料棒_没有反馈的灵感只是脑内烟花.html"
"160","为什么你的选题池应该按反馈热度排序，而不是按灵感顺序？现实的回话比脑内兴奋更可靠","1259","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：越兴奋的选题未必越有用户需求。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：现实的回话比脑内兴奋更可靠 小红书版钩子：越兴奋的选题未必越有用户需求 知乎回答问题：为什么 反馈热度排序 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题160_为什么你的选题池应该按反馈热度排序而不是按灵感顺序现实的回话比脑内兴奋更可靠.html"
"161","为什么青年律师其实是最典型的外部前额叶需求人群？案件、客户、情绪和截止日期同时排队","1294","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：青年律师任务密度高、后果重、情绪压力大。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：案件、客户、情绪和截止日期同时排队 小红书版钩子：青年律师任务密度高、后果重、情绪压力大 知乎回答问题：为什么 青年律师外部...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题161_为什么青年律师其实是最典型的外部前额叶需求人群案件客户情绪和截止日期同时排队.html"
"162","为什么法学生的论文痛苦和 ADHD 启动困难是同一个接口问题？不是没资料，是没有第一段坡道","1255","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：面对巨大论文题目无法启动。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：不是没资料，是没有第一段坡道 小红书版钩子：面对巨大论文题目无法启动 知乎回答问题：为什么 论文启动坡道 对 ADHD x ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题162_为什么法学生的论文痛苦和ADHD启动困难是同一个接口问题不是没资料是没有第一段坡道.html"
"163","为什么律师 AI 不是替代律师，而是替代那些吞噬判断力的碎任务？真正值钱的是判断，不是搬砖","1280","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：法律人担心被AI替代，又被低价值任务耗尽。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：真正值钱的是判断，不是搬砖 小红书版钩子：法律人担心被AI替代，又被低价值任务耗尽 知乎回答问题：为什么 律师认知卸载 对 ...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题163_为什么律师AI不是替代律师而是替代那些吞噬判断力的碎任务真正值钱的是判断不是搬砖.html"
"164","为什么从法律内容切到 ADHD x AI 不是背叛，而是上游化？你不再只讲职业成长，而是讲认知系统","1262","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：担心旧粉觉得账号变了、断了。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你不再只讲职业成长，而是讲认知系统 小红书版钩子：担心旧粉觉得账号变了、断了 知乎回答问题：为什么 转型上游化 对 ADHD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题164_为什么从法律内容切到ADHDxAI不是背叛而是上游化你不再只讲职业成长而是讲认知系统.html"
"165","为什么高压职业人群需要认知卸载，而不是更多学习资料？资料越多，工作记忆越堵","1266","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：律师、咨询、产品经理不断囤资料但更焦虑。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：资料越多，工作记忆越堵 小红书版钩子：律师、咨询、产品经理不断囤资料但更焦虑 知乎回答问题：为什么 高压职业卸载 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题165_为什么高压职业人群需要认知卸载而不是更多学习资料资料越多工作记忆越堵.html"
"166","为什么法律人最该先用 Agent 做错题本，而不是知识库？知识库越大，越容易变成新墓地","1270","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：知识库越做越复杂却不反馈实践错误。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：知识库越大，越容易变成新墓地 小红书版钩子：知识库越做越复杂却不反馈实践错误 知乎回答问题：为什么 法律错题本 对 ADHD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题166_为什么法律人最该先用Agent做错题本而不是知识库知识库越大越容易变成新墓地.html"
"167","为什么你的老粉迁移不靠解释转型，而靠解决他们的当下崩溃？不要说你变了，直接救他们一次","1077","老粉真正关心的不是你变没变，而是你能不能继续解决他们此刻的崩溃。 | 这样他们会自然发现：你不是抛弃旧内容，而是在讲更底层的问题。 | 个人观察：旧粉最怕的不是博主转型，而是自己被抛下。","痛点：老粉真正关心的不是你变没变，而是你能不能继续解决他们此刻的崩溃。；需求：这些解释不是没用，但它们不是迁移的关键。；待办：标题可以是：；结构：；- 先写一个法律/高压职业真实崩溃场景。","6","通过","","../rendered_articles/问题167_为什么你的老粉迁移不靠解释转型而靠解决他们的当下崩溃_不要说你变了直接救他们一次.html"
"168","为什么从律师成长到双A制图者是一次人群扩大，而不是换赛道？你从一个职业走向一种大脑困境","1263","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：担心转型丢掉旧积累和老粉信任。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你从一个职业走向一种大脑困境 小红书版钩子：担心转型丢掉旧积累和老粉信任 知乎回答问题：为什么 双A制图者定位 对 ADHD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题168_为什么从律师成长到双A制图者是一次人群扩大而不是换赛道你从一个职业走向一种大脑困境.html"
"169","为什么 ADHD 需要 done list，而不是更多待办？你的大脑缺的不是任务，是已完成证据","1410","睁眼第一秒，不是“今天我要做什么”，而是“昨天又有多少没做”。 | 它不是给你做心理按摩，而是建立证据链：今天推进了什么，留下了什么资产，产生了什么反馈，下一步能从哪里接上。 | 公众号版核心标题：为什么 ADHD 需要 done list，而不是更多待办？","痛点：个人观察：很多高强度创作者最容易低估“中间推进”。；需求：短视频前三秒：ADHD 的问题不是任务太少，是完成证据太少。；待办：- 今天完成的 3 件小事：；- 今天推进的 1 个项目：；- 今天收到或制造的 1 个外部反馈：","7","通过","","../rendered_articles/问题169_为什么ADHD需要done_list而不是更多待办_你的大脑缺的不是任务是已完成证据.html"
"170","为什么 ADHD 的自尊需要证据墙？不是鸡血鼓励，而是可复查的完成记录","1234","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：情绪低谷时全盘否认过去一年。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：不是鸡血鼓励，而是可复查的完成记录 小红书版钩子：情绪低谷时全盘否认过去一年 知乎回答问题：为什么 成就证据墙 对 ADHD...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题170_为什么ADHD的自尊需要证据墙不是鸡血鼓励而是可复查的完成记录.html"
"171","为什么 ADHD 的复盘不能只问哪里没做好？你需要先让大脑看见已经做成了什么","1239","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：复盘一开始就变成审判大会。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：你需要先让大脑看见已经做成了什么 小红书版钩子：复盘一开始就变成审判大会 知乎回答问题：为什么 低羞耻复盘 对 ADHD x...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题171_为什么ADHD的复盘不能只问哪里没做好你需要先让大脑看见已经做成了什么.html"
"172","为什么 ADHD 需要成就回放，而不是年终总结？年终总结太远，回放要按周发生","1239","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：一年太长，成就感半衰期太短。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：年终总结太远，回放要按周发生 小红书版钩子：一年太长，成就感半衰期太短 知乎回答问题：为什么 成就回放 对 ADHD x A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题172_为什么ADHD需要成就回放而不是年终总结年终总结太远回放要按周发生.html"
"173","为什么 ADHD 的完成感需要外部见证？一个人偷偷做成，很快会被大脑删档","1244","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：独自完成没有回声，成就感难以固化。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：一个人偷偷做成，很快会被大脑删档 小红书版钩子：独自完成没有回声，成就感难以固化 知乎回答问题：为什么 外部见证 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题173_为什么ADHD的完成感需要外部见证一个人偷偷做成很快会被大脑删档.html"
"174","为什么 ADHD 的文件夹也应该会夸你？项目状态页不是文档，是外部自尊系统","1245","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：文件很多但感受不到自己推进了。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：项目状态页不是文档，是外部自尊系统 小红书版钩子：文件很多但感受不到自己推进了 知乎回答问题：为什么 项目状态台 对 ADH...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题174_为什么ADHD的文件夹也应该会夸你项目状态页不是文档是外部自尊系统.html"
"175","为什么 ADHD 的内容选题要问“谁会因此行动”？只让人点头的文章还没开始赚钱","930","格式： 目标读者： 读完后的最小行动： 评论区问题： 可提供的模板： 可能出现的付费需求： 比如成就盲视的行动，不是“你是不是也这样”，而是“写... | 但如果没有人评论，没有人私信，没有人下载模板，没有人说“这个能不能帮我做”，它还没有真正进入商业世界。 | 公众号版核心标题：ADHD 的内容选题要问“谁会因此行动” 小红书版钩子：只让人点头的文章，还没开始赚钱。","痛点：格式： 目标读者： 读完后的最小行动： 评论区问题： 可提供的模板： 可能出现的付费需求： 比如成就盲视的行动，不是“你是不...；需求：个人观察：很多内容创作者以为自己缺流量，其实缺的是行动入口。；待办：- 目标读者：；- 读完后的最小行动：；- 评论区问题：","6","通过","","../rendered_articles/问题175_为什么ADHD的内容选题要问谁会因此行动_只让人点头的文章还没开始赚钱.html"
"176","为什么 ADHD 的爆款不一定值钱？真正值钱的是能暴露付费痛点的评论","998","因为付费需求常常不是最大声的，而是最具体的。 | 因为现金流不是从热闹里长出来的，而是从具体问题里长出来的。 | 真正值钱的，是评论里暴露出的付费痛点。","痛点：第二类，场景评论：我是在某某工作、某某关系、某某任务里卡住。；需求：因为付费需求常常不是最大声的，而是最具体的。；待办：标签：；每篇发布后 48 小时，至少摘出 10 条评论。没有评论，就记录“无回流”，这也是信号。；然后问：这篇文章适合做流量入口，还是产品入口？","6","通过","","../rendered_articles/问题176_为什么ADHD的爆款不一定值钱_真正值钱的是能暴露付费痛点的评论.html"
"177","为什么 ADHD 创作者要少写观点，多写入口？入口才会把读者带到下一步","1243","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：观点很强但读者读完不知道做什么。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：入口才会把读者带到下一步 小红书版钩子：观点很强但读者读完不知道做什么 知乎回答问题：为什么 文章入口 对 ADHD x A...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题177_为什么ADHD创作者要少写观点多写入口入口才会把读者带到下一步.html"
"178","为什么旧法律粉丝不是要被说服，而是要被重新命名？他们的问题一直是认知负荷过载","1268","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：旧粉未必接受ADHD标签，但熟悉高压崩溃。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：他们的问题一直是认知负荷过载 小红书版钩子：旧粉未必接受ADHD标签，但熟悉高压崩溃 知乎回答问题：为什么 旧粉重新命名 对...；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题178_为什么旧法律粉丝不是要被说服而是要被重新命名他们的问题一直是认知负荷过载.html"
"179","为什么从法律人成长到 ADHD x AI，不是逃离专业，而是看见了更底层的问题","1235","你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。 | 因为它背后不是抽象观点，而是一个真实痛点：转型容易被理解为逃离专业。 | 这不是把问题说得更漂亮，而是把它放到能执行的位置上。","痛点：你有没有发现，真正让人疲惫的不是没有方法，而是每一种方法都像在要求你先变成另一个人。；需求：因为它背后不是抽象观点，而是一个真实痛点：转型容易被理解为逃离专业。；待办：格式很简单：；- 当前痛点：；- 掉线接口：","7","通过","","../rendered_articles/问题179_为什么从法律人成长到ADHDxAI不是逃离专业而是看见了更底层的问题.html"
"180","为什么这个选题池不该再追求数量？下一阶段要让每个 S 级题目长出正文、发布包和产品入口","984","个人观察：很多项目不是死于没想法，而是死于想法太多。 | 反事实：如果每周只推进一个 S 级题，从正文到发布包到反馈记录，十周以后你得到的不是十个标题，而是十个真实测试过的产品入口。 | 不是永远不新增，而是新增必须满足一个条件：它比当前 S 级队列更能带来发布、反馈或产品化。","痛点：选题越多，越容易让 ADHD 兴奋。；需求：个人观察：很多项目不是死于没想法，而是死于想法太多。；待办：- 正文完成：；- 发布包完成：；- 评论问题完成：","6","通过","","../rendered_articles/问题180_为什么这个选题池不该再追求数量_下一阶段要让每个S级题目长出正文发布包和产品入口.html"
